serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1,,Airbus A320,320-211,22/02/1987,,F-WWAI,CFMI CFM56-5A1,2,F-WWAI,22/02/1987,Airbus Industrie,,Transferred
1,,Airbus A320,320-211,22/02/1987,,F-WWAI,CFMI CFM56-5A1,2,F-WWFT,01/05/1991,Airbus Industrie,Winglets 22/08/95,Transferred
1,,Airbus A320,320-211,22/02/1987,,F-WWAI,CFMI CFM56-5A1,2,F-WWBA,07/01/2001,Airbus Industrie,converted from 320-111 to 320-211 in 2010,Stored
2,,Airbus A320,320-111,27/04/1987,,F-WWDA,CFMI CFM56-5B4,2,F-WWDA,27/04/1987,Airbus Industrie,,Transferred
2,,Airbus A320,320-111,27/04/1987,,F-WWDA,CFMI CFM56-5B4,2,F-GFKQ,08/02/1991,Air France,Stored at ORY 07/2009 - Scrapped 10/2009,Scrapped
3,,Airbus A320,320-111,18/06/1987,,F-WWDB,CFMI CFM56-5B4,2,F-WWDB,18/06/1987,Airbus Industrie,,Transferred
3,,Airbus A320,320-111,18/06/1987,,F-WWDB,CFMI CFM56-5B4,2,F-GGEG,30/10/1989,Air Inter,,Transferred
3,,Airbus A320,320-111,18/06/1987,,F-WWDB,CFMI CFM56-5B4,2,F-GGEG,12/09/1997,Air France,Stored at Roswell 04/2008 - Scrapped 06/2008,Scrapped
4,,Airbus A320,320-111,08/07/1987,,F-WWDC,CFMI CFM56-5B4,2,F-WWDC,08/07/1987,Airbus Industrie,Ryanair title for demo 14/03/1988,Transferred
4,,Airbus A320,320-111,08/07/1987,,F-WWDC,CFMI CFM56-5B4,2,F-GGEF,07/07/1989,Air Inter,,Transferred
4,,Airbus A320,320-111,08/07/1987,,F-WWDC,CFMI CFM56-5B4,2,F-GGEF,12/09/1997,Air France,Scrapped 03/2008,Scrapped
5,,Airbus A320,320-111,08/07/1987,,F-WWDI,CFMI CFM56-5B4,2,F-GFKA,26/03/1988,Air France,Stored 07/2010,Scrapped
6,,Airbus A320,320-111,09/11/1987,,F-WWDD,CFMI CFM56-5B4,2,G-BUSB,31/03/1988,British Caledonian,,Transferred
6,,Airbus A320,320-111,09/11/1987,,F-WWDD,CFMI CFM56-5B4,2,G-BUSB,14/04/1988,British Airways,Stored 27/11/07 - at Goodyear 11/12/2007 - Scrapped,Scrapped
7,,Airbus A320,320-111,26/11/1987,,F-WWDJ,CFMI CFM56-5B4,2,F-GFKB,18/05/1988,Air France,Stored 11/2009 - Scrapped 08/2010,Scrapped
8,,Airbus A320,320-111,04/12/1987,,F-WWDE,CFMI CFM56-5B4,2,G-BUSC,03/06/1988,British Airways,Last service 30/09/07 - Scrapped 03/2008,Scrapped
9,,Airbus A320,320-111,06/01/1988,,F-WWDD,CFMI CFM56-5B4,2,F-GFKC,23/06/1988,Air France,,Written off
10,,Airbus A320,320-111,19/01/1988,,F-WWDL,CFMI CFM56-5B4,2,F-GGEA,17/06/1988,Air Inter,,Transferred
10,,Airbus A320,320-111,19/01/1988,,F-WWDL,CFMI CFM56-5B4,2,F-GGEA,12/09/1997,Air France,Stored 11/2009 - Scrapped 02/2010,Scrapped
11,,Airbus A320,320-111,05/02/1988,,F-WWDF,CFMI CFM56-5B4,2,G-BUSD,22/07/1988,British Airways,Stored at QLA 06/11/06 - Scrapped 04/2007,Scrapped
12,,Airbus A320,320-111,17/02/1988,,F-WWDM,CFMI CFM56-5B4,2,F-GGEB,05/08/1988,Air Inter,,Transferred
12,,Airbus A320,320-111,17/02/1988,,F-WWDM,CFMI CFM56-5B4,2,F-GGEB,12/09/1997,Air France,Stored 05/2010 - Scrapped 09/2010,Scrapped
