serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
26916,7,Boeing 777,777-222,25/04/1995,25,,PW PW4077,2,N777UA,15/05/1995,United Airlines,,Active
26917,8,Boeing 777,777-222,04/05/1995,,,PW PW4077,2,N766UA,24/05/1995,United Airlines,Stored at Goodyear 30/07/03,Transferred
26917,8,Boeing 777,777-222,04/05/1995,,,PW PW4077,2,VT-AIR,03/01/2006,Air India,Named Hamsadhwani  - Returned to lessor 10/2010Scrapped 12/2011,Scrapped
26918,9,Boeing 777,777-222,17/05/1995,,,PW PW4077,2,N767UA,31/05/1995,United Airlines,stored at Goodyear 04/03/04,Transferred
26918,9,Boeing 777,777-222,17/05/1995,,,PW PW4077,2,PP-VRI,01/02/2005,Varig,Stored at GIG 07/2006 - reg N767UA 12/2006 - Then stored at AFW,Transferred
26918,9,Boeing 777,777-222,17/05/1995,,,PW PW4077,2,EI-UNY,22/12/2011,Transaero Airlines,Scrapped in 2017Ceased operations 26 oct. 2015,Scrapped
26919,11,Boeing 777,777-222,31/05/1995,24.9,,PW PW4077,2,N768UA,26/06/1995,United Airlines,,Active
26921,12,Boeing 777,777-222,13/06/1995,24.8,,PW PW4077,2,N769UA,28/06/1995,United Airlines,,Active
26924,116,Boeing 777,777-222ER,26/01/1998,22.2,,PW PW4090,2,N797UA,20/02/1998,United Airlines,,Active
26925,13,Boeing 777,777-222,26/06/1995,,,PW PW4077,2,N770UA,13/07/1995,United Airlines,,Transferred
26925,13,Boeing 777,777-222,26/06/1995,,,PW PW4077,2,PP-VRJ,08/04/2005,Varig,Stored 07/2006 - reg N770UA 12/12/06 - Then stored at AFW,Transferred
26925,13,Boeing 777,777-222,26/06/1995,,,PW PW4077,2,EI-UNZ,30/09/2008,Transaero Airlines,Stored 10/2015,Stored
26926,139,Boeing 777,777-222ER,27/04/1998,22,,PW PW4090,2,N799UA,08/05/1998,United Airlines,,Active
26927,108,Boeing 777,777-222ER,13/11/1997,22.4,,PW PW4090,2,N795UA,09/12/1997,United Airlines,,Active
26928,123,Boeing 777,777-222ER,13/02/1998,22.2,,PW PW4090,2,N798UA,28/02/1998,United Airlines,,Active
26929,4,Boeing 777,777-222,28/10/1994,25.5,N7774,PW PW4077,2,N773UA,29/09/1995,United Airlines,,Active
26930,5,Boeing 777,777-222,19/11/1994,25.4,,PW PW4077,2,N772UA,29/09/1995,United Airlines,,Active
26931,112,Boeing 777,777-222ER,14/01/1998,22.2,,PW PW4090,2,N796UA,28/01/1998,United Airlines,,Active
26932,3,Boeing 777,777-222,02/08/1994,25.7,N7773,PW PW4077,2,N771UA,27/11/1995,United Airlines,,Active
26933,93,Boeing 777,777-222ER,21/08/1997,22.6,,PW PW4090,2,N791UA,28/08/1997,United Airlines,,Active
26934,96,Boeing 777,777-222ER,14/09/1997,22.6,,PW PW4090,2,N792UA,25/09/1997,United Airlines,,Active
26935,88,Boeing 777,777-222ER,31/07/1997,,,PW PW4090,2,N789UA,11/08/1997,United Airlines,Stored at Goodyear 24/11/03,Transferred
26935,88,Boeing 777,777-222ER,31/07/1997,,,PW PW4090,2,VT-AIL,26/05/2005,Air India,Named Kalyani -  Returned to lessor 09/2010,Transferred
26935,88,Boeing 777,777-222ER,31/07/1997,,,PW PW4090,2,N918AX,16/05/2011,Omni Air International,Scrapped 03/2018Stored 03/2016Lsd From T7 Aviation Leasing,Scrapped
26936,2,Boeing 777,777-222,15/07/1994,25.7,N7772,PW PW4077,2,N774UA,29/03/1996,United Airlines,,Active
26937,27,Boeing 777,777-222,22/03/1996,24.1,,PW PW4077,2,N776UA,11/04/1996,United Airlines,,Active
26938,52,Boeing 777,777-222ER,23/03/1997,23.1,,PW PW4090,2,N786UA,04/04/1997,United Airlines,,Active
26939,43,Boeing 777,777-222ER,29/10/1996,23.5,,PW PW4090,2,N787UA,05/06/1997,United Airlines,,Active
26940,34,Boeing 777,777-222,27/06/1996,23.8,,PW PW4077,2,N778UA,18/07/1996,United Airlines,,Active
26941,35,Boeing 777,777-222,10/07/1996,23.8,,PW PW4077,2,N779UA,26/07/1996,United Airlines,,Active
26942,82,Boeing 777,777-222ER,08/07/1997,22.8,,PW PW4090,2,N788UA,15/07/1997,United Airlines,,Active
26943,92,Boeing 777,777-222ER,15/08/1997,,,PW PW4090,2,N790UA,28/08/1997,United Airlines,Stored at Goodyear 05/04/04,Transferred
26943,92,Boeing 777,777-222ER,15/08/1997,,,PW PW4090,2,VT-AIJ,18/02/2005,Air India,Stored 08/2010 as N927UA (Omni Air),Transferred
26943,92,Boeing 777,777-222ER,15/08/1997,,,PW PW4090,2,N927AX,25/08/2011,Omni Air International,Scrapped 01/2017Stored 05/2016lsd From T7 Aviation Leasing Llc,Scrapped
26944,36,Boeing 777,777-222,17/07/1996,23.7,,PW PW4077,2,N780UA,06/08/1996,United Airlines,,Active
26945,40,Boeing 777,777-222,23/08/1996,23.6,,PW PW4077,2,N781UA,12/09/1996,United Airlines,,Active
26946,97,Boeing 777,777-222ER,22/09/1997,22.6,,PW PW4090,2,N793UA,07/10/1997,United Airlines,,Active
26947,22,Boeing 777,777-222,07/01/1996,24.3,,PW PW4077,2,N775UA,22/01/1996,United Airlines,,Active
26948,57,Boeing 777,777-222ER,14/02/1997,23.2,,PW PW4090,2,N782UA,07/03/1997,United Airlines,,Active
26950,60,Boeing 777,777-222ER,24/02/1997,23.1,,PW PW4090,2,N783UA,11/03/1997,United Airlines,,Active
26951,69,Boeing 777,777-222ER,16/04/1997,23,,PW PW4090,2,N784UA,29/04/1997,United Airlines,,Active
26953,105,Boeing 777,777-222ER,28/10/1997,22.5,,PW PW4090,2,N794UA,18/11/1997,United Airlines,,Active
26954,73,Boeing 777,777-222ER,07/05/1997,22.9,,PW PW4090,2,N785UA,21/05/1997,United Airlines,,Active
27027,16,Boeing 777,777-281,31/08/1995,,N5016R,PW PW4090,2,JA8197,04/10/1995,All Nippon Airways,Stored 08/2016  Scrapped,Scrapped
27028,21,Boeing 777,777-281,09/12/1995,,,PW PW4090,2,JA8198,21/12/1995,All Nippon Airways,Stored 01/2017,Stored
27029,29,Boeing 777,777-281,02/05/1996,,,PW PW4090,2,JA8199,23/05/1996,All Nippon Airways,Stored 05/2016,Stored
27030,37,Boeing 777,777-281,26/07/1996,,,PW PW4090,2,JA8967,12/08/1996,All Nippon Airways,Stored 06/2017,Stored
27031,38,Boeing 777,777-281,02/08/1996,,,PW PW4090,2,JA8968,14/08/1996,All Nippon Airways,Stored 02/2017,Stored
27032,50,Boeing 777,777-281,27/11/1996,,,PW PW4090,2,JA8969,16/12/1996,All Nippon Airways,Stoerd 01/2018,Stored
27033,75,Boeing 777,777-281,10/06/1997,22.8,,PW PW4090,2,JA702A,30/06/1997,All Nippon Airways,,Active
27034,81,Boeing 777,777-281,08/07/1997,,N50217,PW PW4090,2,JA703A,21/08/1997,All Nippon Airways,Stored 03/2019,Stored
27035,131,Boeing 777,777-281,16/03/1998,22.1,,PW PW4090,2,JA704A,26/03/1998,All Nippon Airways,,Active
27036,141,Boeing 777,777-281,05/05/1998,21.9,,PW PW4090,2,JA706A,20/05/1998,All Nippon Airways,,Active
27037,247,Boeing 777,777-281ER,22/09/1999,20.6,,PW PW4090,2,JA707A,06/10/1999,All Nippon Airways,,Active
27038,511,Boeing 777,777-381ER,29/03/2005,15,,GE GE90-115B,2,JA732A,25/04/2005,All Nippon Airways,,Active
27039,440,Boeing 777,777-381,07/05/2003,16.9,,PW PW4090,2,JA756A,23/05/2003,All Nippon Airways,,Active
27040,442,Boeing 777,777-381,27/05/2003,16.9,,PW PW4090,2,JA757A,11/06/2003,All Nippon Airways,,Active
27041,667,Boeing 777,777-381ER,20/09/2007,12.6,,GE GE90-115B,2,JA781A,27/09/2007,All Nippon Airways,,Active
27105,6,Boeing 777,777-236,02/02/1995,25.2,N77779,GE GE90-76B,2,G-ZZZA,20/05/1996,British Airways,,Active
27106,10,Boeing 777,777-236,11/04/1995,25,N77771,GE GE90-76B,2,G-ZZZB,28/03/1997,British Airways,,Active
27106,10,Boeing 777,777-236,11/04/1995,25,N77771,GE GE90-76B,2,G-ZZZB,28/03/1997,British Airways,,Active
27107,15,Boeing 777,777-236,01/09/1995,,N5014K,GE GE90-76B,2,G-ZZZC,11/11/1995,British Airways,Stored 01/2020 - To be scrapped,Stored
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,G-ZZZD,28/12/1995,British Airways,,Transferred
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,N702BA,23/08/2002,Boeing,,Transferred
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,7T-VKP,10/01/2003,Khalifa Airways,Stored at Frankfurt 15/02/02,Transferred
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,N702BA,06/06/2003,Boeing,Ferried to PSM,Transferred
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,PP-VRC,27/02/2004,Varig,Stored at MZJ 07/2006 - at FRA 02/2003 - re-registered N702BA 08/2006,Transferred
27108,17,Boeing 777,777-236,19/11/1995,24.4,,GE GE90-76B,2,TR-KPR,27/05/2012,Afrijet Airlines Business Service,Lsd From Bahc,Active
27109,19,Boeing 777,777-236,03/12/1995,,,GE GE90-76B,2,G-ZZZE,12/01/1996,British Airways,,Transferred
27109,19,Boeing 777,777-236,03/12/1995,,,GE GE90-76B,2,N703BA,22/07/2002,Boeing,,Transferred
27109,19,Boeing 777,777-236,03/12/1995,,,GE GE90-76B,2,7T-VKQ,13/01/2003,Khalifa Airways,Stored at Frankfurt 16/02/03,Transferred
27109,19,Boeing 777,777-236,03/12/1995,,,GE GE90-76B,2,PP-VRD,01/03/2004,Varig,Stored at MZJ 04/2006 - rereg N703BA 08/2006 (evergreen aircraft sales & leasing co) - Flown to ARG 12/2006 for part-out and scrapping,Scrapped
27116,1,Boeing 777,777-267,12/06/1994,,,RR Trent 877,2,N7771,01/06/1994,Boeing,First Prototype,Transferred
27116,1,Boeing 777,777-267,12/06/1994,,,RR Trent 877,2,B-HNL,06/12/2000,Cathay Pacific,"Stored 06/2018preserved @ pima air museum, az september 19, 2018",Stored
27247,30,Boeing 777,777-21H,02/05/1996,,,RR Trent 877,2,A6-EMD,05/06/1996,Emirates,Scrapped 11/2014Stored 09/2014 as N930KW universal asset management inclsd from Veling,Scrapped
27248,33,Boeing 777,777-21H,14/06/1996,,,RR Trent 877,2,A6-EME,03/07/1996,Emirates,Scrapped 10/2015Stored 10/2014 as N102AJ,Scrapped
27249,42,Boeing 777,777-21H,25/09/1996,,,RR Trent 877,2,A6-EMF,16/10/1996,Emirates,Strored 08/2015,Scrapped
27250,47,Boeing 777,777-21HER,21/11/1996,,N5028Y,RR Trent 892,2,A6-EMI,25/07/1997,Emirates,Stored 06/2016 as 2-RVEL,Transferred
27250,47,Boeing 777,777-21HER,21/11/1996,,N5028Y,RR Trent 892,2,VP-BLI,20/04/2017,VIM Airlines,Stored 10/2017,Transferred
27250,47,Boeing 777,777-21HER,21/11/1996,,N5028Y,RR Trent 892,2,VP-BLI,18/06/2018,IrAero,Stored 11/2019 -  Returned to lessorlsd from Veling,Transferred
27250,47,Boeing 777,777-21HER,21/11/1996,,N5028Y,RR Trent 892,2,VP-BLI,01/05/2020,Red Wings Airlines,To enter in service,On order
27251,54,Boeing 777,777-21HER,22/04/1997,,,RR Trent 892,2,A6-EMH,15/05/1997,Emirates,Stored 04/2016 as 2-RLAJlsd from NISR 2 ltd,Transferred
27251,54,Boeing 777,777-21HER,22/04/1997,,,RR Trent 892,2,VP-BSJ,20/07/2018,IrAero,Stored 11/2019,Transferred
27251,54,Boeing 777,777-21HER,22/04/1997,,,RR Trent 892,2,VP-BSJ,01/05/2020,Red Wings Airlines,To enter in service,On order
