serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,D-ABEA,24/04/1968,Lufthansa,Named Coburg,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,D-ABEA,01/02/1983,Far Eastern Air Transport,,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,D-ABEA,01/04/1983,Asia Aviation Service,,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,N701AW,06/04/1984,America West Airlines,,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,N701AW,10/12/1986,America West Airlines,,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,ZK-NEA,01/05/1987,Ansett New Zealand,,Transferred
19013,2,Boeing 737,737-130,13/05/1967,,N2262C,PW JT8D-7A,2,N701PJ,01/09/1993,Lessor,brup by Evergreen 10/95,Scrapped
19014,3,Boeing 737,737-130,12/06/1967,,N2286C,PW JT8D-7A,2,D-ABEB,27/12/1967,Lufthansa,Named Regensburg,Transferred
19014,3,Boeing 737,737-130,12/06/1967,,N2286C,PW JT8D-7A,2,B-2621,20/08/1981,Far Eastern Air Transport,,Transferred
19014,3,Boeing 737,737-130,12/06/1967,,N2286C,PW JT8D-7A,2,XA-LBM,01/06/1996,Magnicharters,,Transferred
19014,3,Boeing 737,737-130,12/06/1967,,N2286C,PW JT8D-7A,2,P4-ASA,01/09/1996,Aero Continente,,Transferred
19014,3,Boeing 737,737-130,12/06/1967,,N2286C,PW JT8D-7A,2,OB-1745,01/07/2000,Aero Continente,Stored at Lima,Stored
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,D-ABEC,27/12/1967,Lufthansa,Named Osnabrück,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,D-ABEC,01/02/1983,Far Eastern Air Transport,,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,D-ABEC,01/04/1983,Asia Aviation Service,,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,N702AW,06/04/1984,America West Airlines,,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,N702AW,10/12/1986,America West Airlines,,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,ZK-NEB,21/06/1987,Ansett New Zealand,,Transferred
19015,4,Boeing 737,737-130,05/07/1967,,N2289C,PW JT8D-7A,2,N702PJ,01/09/1993,Lessor,,Stored
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,D-ABED,02/02/1968,Lufthansa,Named Flensburg,Transferred
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,YV-406C,22/12/1982,Asia Aviation Service,,Transferred
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,N703AW,06/04/1984,America West Airlines,,Transferred
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,N703AW,10/12/1986,America West Airlines,,Transferred
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,ZK-NEC,01/04/1987,Ansett New Zealand,,Transferred
19016,5,Boeing 737,737-130,20/01/1968,,,PW JT8D-7A,2,N703PJ,01/09/1993,Lessor,Scrapped,Scrapped
19017,7,Boeing 737,737-130,15/02/1968,,,PW JT8D-7A,2,D-ABEF,28/02/1968,Lufthansa,Named Kempten,Transferred
19017,7,Boeing 737,737-130,15/02/1968,,,PW JT8D-7A,2,B-2623,14/07/1981,Far Eastern Air Transport,,Transferred
19017,7,Boeing 737,737-130,15/02/1968,,,PW JT8D-7A,2,XA-GBM,01/06/1996,Magnicharters,,Transferred
19017,7,Boeing 737,737-130,15/02/1968,,,PW JT8D-7A,2,P4-ASB,01/09/1996,Aero Continente,,Transferred
19017,7,Boeing 737,737-130,15/02/1968,,,PW JT8D-7A,2,OB-1736,19/03/2000,Aero Continente,,Stored
19018,9,Boeing 737,737-130,02/03/1968,,,PW JT8D-7A,2,D-ABEG,13/03/1968,Lufthansa,Named Offenbach,Transferred
19018,9,Boeing 737,737-130,02/03/1968,,,PW JT8D-7A,2,N401PE,30/05/1981,People Express,,Transferred
19018,9,Boeing 737,737-130,02/03/1968,,,PW JT8D-7A,2,N401PE,01/02/1987,Continental Airlines,,Transferred
19018,9,Boeing 737,737-130,02/03/1968,,,PW JT8D-7A,2,N16201,01/07/1990,Continental Airlines,,Scrapped
19019,10,Boeing 737,737-130,03/04/1968,,,PW JT8D-7A,2,D-ABEH,25/04/1968,Lufthansa,,Transferred
19019,10,Boeing 737,737-130,03/04/1968,,,PW JT8D-7A,2,N402PE,17/11/1981,People Express,,Transferred
19019,10,Boeing 737,737-130,03/04/1968,,,PW JT8D-7A,2,N402PE,01/02/1987,Continental Airlines,,Transferred
19019,10,Boeing 737,737-130,03/04/1968,,,PW JT8D-7A,2,N33202,01/05/1991,Continental Airlines,,Scrapped
19020,11,Boeing 737,737-130,09/04/1968,,,PW JT8D-7A,2,D-ABEI,14/04/1968,Lufthansa,,Transferred
19020,11,Boeing 737,737-130,09/04/1968,,,PW JT8D-7A,2,N403PE,17/11/1981,People Express,,Transferred
19020,11,Boeing 737,737-130,09/04/1968,,,PW JT8D-7A,2,N403PE,01/02/1987,Continental Airlines,,Scrapped
19021,15,Boeing 737,737-130,20/03/1968,,,PW JT8D-7A,2,D-ABEK,04/04/1968,Lufthansa,,Transferred
19021,15,Boeing 737,737-130,20/03/1968,,,PW JT8D-7A,2,D-ABEK,01/01/1969,Condor,,Transferred
19021,15,Boeing 737,737-130,20/03/1968,,,PW JT8D-7A,2,N404PE,13/08/1981,People Express,,Transferred
19021,15,Boeing 737,737-130,20/03/1968,,,PW JT8D-7A,2,N404PE,01/02/1987,Continental Airlines,,Transferred
19021,15,Boeing 737,737-130,20/03/1968,,,PW JT8D-7A,2,N77204,01/06/1990,Continental Airlines,,Scrapped
19022,17,Boeing 737,737-130,24/03/1968,,,PW JT8D-7A,2,D-ABEL,05/04/1968,Lufthansa,,Transferred
19022,17,Boeing 737,737-130,24/03/1968,,,PW JT8D-7A,2,D-ABEL,01/01/1969,Condor,,Transferred
19022,17,Boeing 737,737-130,24/03/1968,,,PW JT8D-7A,2,N405PE,06/10/1981,People Express,,Transferred
19022,17,Boeing 737,737-130,24/03/1968,,,PW JT8D-7A,2,N405PE,01/02/1987,Continental Airlines,,Transferred
19022,17,Boeing 737,737-130,24/03/1968,,,PW JT8D-7A,2,N20205,01/01/1991,Continental Airlines,,Scrapped
19023,23,Boeing 737,737-130,16/04/1968,,,PW JT8D-7A,2,D-ABEM,29/04/1968,Lufthansa,,Transferred
19023,23,Boeing 737,737-130,16/04/1968,,,PW JT8D-7A,2,D-ABEM,01/01/1969,Condor,,Transferred
19023,23,Boeing 737,737-130,16/04/1968,,,PW JT8D-7A,2,N406PE,11/08/1981,People Express,,Transferred
19023,23,Boeing 737,737-130,16/04/1968,,,PW JT8D-7A,2,N406PE,01/02/1987,Continental Airlines,,Transferred
19023,23,Boeing 737,737-130,16/04/1968,,,PW JT8D-7A,2,N14206,01/12/1990,Continental Airlines,,Scrapped
19024,26,Boeing 737,737-130,05/05/1968,,,PW JT8D-7A,2,D-ABEN,19/05/1968,Lufthansa,,Transferred
19024,26,Boeing 737,737-130,05/05/1968,,,PW JT8D-7A,2,N407PE,24/03/1981,People Express,,Transferred
19024,26,Boeing 737,737-130,05/05/1968,,,PW JT8D-7A,2,N407PE,01/02/1987,Continental Airlines,,Scrapped
