serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1,,Airbus A380,380-841,27/04/2005,15,F-WWOW,RR Trent 970,4,F-WWOW,01/01/2005,Airbus Industrie,First Flight 27/04/05 - Took off at 08:29 and landed at 12:22 GMTmasterpiece of the airbus museum in toulouse,Active
2,,Airbus A380,380-841,04/11/2005,,F-WXXL,RR Trent 970,4,F-WXXL,04/11/2005,Airbus Industrie,Stored at TLS 2007,Stored
3,,Airbus A380,380-841,07/05/2006,,F-WWSA,RR Trent 970,4,9V-SKA,12/10/2007,Singapore Airlines,Stored 06/2017 as 2-DRPA Lsd From DS Aviation  Scrapped 11/2019,Scrapped
4,,Airbus A380,380-861,18/10/2005,,F-WWDD,GP7270,4,F-WWDD,18/10/2005,Airbus Industrie,Stored 12/2014 - Displayed at Paris LBG 02/2017,Stored
5,,Airbus A380,380-841,19/07/2006,,F-WWSB,RR Trent 970,4,9V-SKB,11/01/2008,Singapore Airlines,Stored 01/2018 as 9H-DPBLsd From Doric Asset Finance   To Be Dismantled For Spares,Stored
6,,Airbus A380,380-841,17/11/2006,13.4,F-WWSC,RR Trent 970,4,9V-SKC,11/03/2008,Singapore Airlines,Stored 11/2017Lsd From Doric Asset Finance,Transferred
6,,Airbus A380,380-841,17/11/2006,13.4,F-WWSC,RR Trent 970,4,9H-MIP,04/07/2018,HiFly Malta,Lsd From Doric Asset Finance,Active
7,,Airbus A380,380-861,19/02/2006,14.1,F-WWJB,GP7270,4,A6-EDF,12/12/2009,Emirates,,Active
8,,Airbus A380,380-841,19/03/2007,,F-WWSE,RR Trent 970,4,9V-SKD,26/04/2008,Singapore Airlines,last service 12/2017Stored 06/2018 as 9H-DPD,Stored
9,,Airbus A380,380-861,25/08/2006,13.6,F-WWEA,GP7270,4,A6-EDJ,07/06/2010,Emirates,,Active
10,,Airbus A380,380-841,21/12/2007,,F-WWSG,RR Trent 970,4,9V-SKE,28/06/2008,Singapore Airlines,Stored 04/2018 as 9H-DPElsd from Doric,Stored
11,,Airbus A380,380-861,04/09/2007,12.6,F-WWSH,GP7270,4,A6-EDA,29/07/2008,Emirates,,Active
12,,Airbus A380,380-841,20/02/2008,12.1,F-WWSI,RR Trent 970,4,9V-SKF,17/09/2008,Singapore Airlines,,Active
13,,Airbus A380,380-861,02/04/2008,12,D-AXAB,GP7270,4,A6-EDB,24/10/2008,Emirates,,Active
14,,Airbus A380,380-842,25/01/2008,12.2,F-WWSK,RR Trent 972,4,VH-OQA,19/09/2008,Qantas,"Named Nancy Bird WaltonStored 11/2010Back in service 04/2012  Back In Service: 21/4/2012. Took Off With Airbus Employees And Qantas Ceo, Mr Alan Joyce Onboard The Aircraft.",Active
15,,Airbus A380,380-842,25/06/2008,11.8,F-WWSL,RR Trent 972,4,VH-OQB,17/12/2008,Qantas,Named Hudson Fysh,Active
16,,Airbus A380,380-861,28/05/2008,11.9,F-WWSM,GP7270,4,A6-EDC,15/11/2008,Emirates,,Active
17,,Airbus A380,380-861,29/09/2008,11.5,F-WWSN,GP7270,4,A6-EDE,24/04/2009,Emirates,,Active
19,,Airbus A380,380-841,08/11/2008,11.4,F-WWSP,RR Trent 970,4,9V-SKG,04/06/2009,Singapore Airlines,,Active
20,,Airbus A380,380-861,15/07/2008,11.7,F-WWSN,GP7270,4,A6-EDD,30/12/2008,Emirates,,Active
21,,Airbus A380,380-841,10/12/2008,11.3,F-WWSQ,RR Trent 970,4,9V-SKH,28/05/2009,Singapore Airlines,,Active
22,,Airbus A380,380-842,01/08/2008,11.7,F-WWSR,RR Trent 972,4,VH-OQC,27/12/2008,Qantas,Named Paul McGinness,Active
23,,Airbus A380,380-861,06/05/2009,10.9,F-WWST,GP7270,4,A6-EDG,23/12/2009,Emirates,,Active
25,,Airbus A380,380-861,13/07/2009,10.7,F-WWSV,GP7270,4,A6-EDH,18/01/2010,Emirates,,Active
26,,Airbus A380,380-842,12/11/2008,11.4,F-WWSX,RR Trent 972,4,VH-OQD,22/08/2009,Qantas,Named Fergus McMaster,Active
27,,Airbus A380,380-842,18/03/2009,11.1,F-WWSY,RR Trent 972,4,VH-OQE,19/12/2009,Qantas,Named Lawrence Hargrave,Active
28,,Airbus A380,380-861,15/10/2009,10.5,F-WWSZ,GP7270,4,A6-EDI,28/05/2010,Emirates,,Active
29,,Airbus A380,380-842,30/03/2009,11,F-WWSA,RR Trent 972,4,VH-OQF,09/01/2010,Qantas,Named Charles Kingsford Smith,Active
30,,Airbus A380,380-861,14/01/2010,10.2,F-WWSD,GP7270,4,A6-EDK,03/07/2010,Emirates,,Active
31,,Airbus A380,380-841,03/03/2011,9.1,F-WWSF,RR Trent 970,4,B-6136,14/10/2011,China Southern Airlines,,Active
33,,Airbus A380,380-861,12/02/2009,11.2,F-WWSB,GP7270,4,F-HPJA,30/10/2009,Air France,Leased From Fortune Leasing,Active
34,,Airbus A380,380-841,12/01/2009,11.2,F-WWSC,RR Trent 970,4,9V-SKI,06/07/2009,Singapore Airlines,,Active
35,,Airbus A380,380-861,16/11/2010,9.4,F-WWAT,GP7270,4,HL7611,01/06/2011,Korean Air,,Active
36,,Airbus A380,380-841,06/05/2011,8.9,F-WWAM,RR Trent 970,4,B-6137,17/12/2011,China Southern Airlines,,Active
38,,Airbus A380,380-841,06/10/2009,10.5,F-WWSH,RR Trent 970,4,D-AIMA,19/05/2010,Lufthansa,Named Frankfurt am Main,Active
39,,Airbus A380,380-861,07/01/2011,9.3,F-WWAZ,GP7270,4,HL7612,13/07/2011,Korean Air,,Active
40,,Airbus A380,380-861,02/06/2009,,F-WWSE,GP7270,4,F-HPJB,10/02/2010,Air France,Left fleet 12/2019,Stored
41,,Airbus A380,380-841,22/01/2010,10.2,F-WWAF,RR Trent 970,4,D-AIMB,21/07/2010,Lufthansa,Named München,Active
42,,Airbus A380,380-861,06/04/2010,10,F-WWAO,GP7270,4,A6-EDM,28/09/2010,Emirates,,Active
43,,Airbus A380,380-861,20/07/2009,10.7,F-WWAB,GP7270,4,F-HPJC,14/04/2010,Air France,,Active
44,,Airbus A380,380-841,15/02/2010,10.2,F-WWAJ,RR Trent 970,4,D-AIMC,25/08/2010,Lufthansa,Named Peking,Active
