serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1599,,Airbus A318,318-122ELITE,15/01/2002,18.2,F-WWIA,CFMI CFM56-5B9/3,2,F-WWIA,15/01/2002,Airbus Industrie,,Transferred
1599,,Airbus A318,318-122ELITE,15/01/2002,18.2,F-WWIA,CFMI CFM56-5B9/3,2,A6-AAM,25/04/2008,RAK Airways,Converted into A318-122Elite(CJ),Transferred
1599,,Airbus A318,318-122ELITE,15/01/2002,18.2,F-WWIA,CFMI CFM56-5B9/3,2,A6-AAM,01/06/2009,Dana Executive Jets,Owned Ny An Aran Tycoon  - Named Juma Al Majid,Transferred
1599,,Airbus A318,318-122ELITE,15/01/2002,18.2,F-WWIA,CFMI CFM56-5B9/3,2,A6-AAM,01/10/2011,Gamma Aviation,,Active
1660,,Airbus A318,318-111,03/06/2002,,F-WWIB,CFMI CFM56-5B8/P,2,F-WWIB,03/06/2002,Airbus Industrie,"318 Proto #2 - converted to 318-111, re-engined with CFM56-5B5/P",Transferred
1660,,Airbus A318,318-111,03/06/2002,,F-WWIB,CFMI CFM56-5B8/P,2,N805FR,09/04/2004,Frontier Airlines,Stored 06/2012Scrapped 08/2012,Scrapped
1939,,Airbus A318,318-111,22/05/2003,,D-AUAA,CFMI CFM56-5B8/P,2,F-WWDA,01/06/2003,Airbus Industrie,,Transferred
1939,,Airbus A318,318-111,22/05/2003,,D-AUAA,CFMI CFM56-5B8/P,2,N801FR,21/07/2003,Frontier Airlines,Stored 11/2012Scrapped 03/2013  lsd from ILFC - Tail animal named: Grizzly Bear - Grizwald,Scrapped
1991,,Airbus A318,318-111,14/07/2003,,D-AUAB,CFMI CFM56-5B8/P,2,N802FR,30/07/2003,Frontier Airlines,Stored 04/2013Tail animal named: Elk - Montana.,Stored
2017,,Airbus A318,318-111,21/08/2003,,D-AUAC,CFMI CFM56-5B8/P,2,N803FR,13/09/2003,Frontier Airlines,Stored 08/2013,Stored
2035,,Airbus A318,318-111,12/09/2003,16.6,D-AUAD,CFMI CFM56-5B8/P,2,F-GUGA,09/10/2003,Air France,,Active
2051,,Airbus A318,318-111,23/09/2003,,D-AUAE,CFMI CFM56-5B8/P,2,N804FR,23/10/2003,Frontier Airlines,Stored 03/2011 - Scrapped,Scrapped
2059,,Airbus A318,318-111,15/10/2003,16.5,D-AUEF,CFMI CFM56-5B8/P,2,F-GUGB,07/11/2003,Air France,,Active
2071,,Airbus A318,318-111,24/10/2003,16.5,D-AUAG,CFMI CFM56-5B8/P,2,F-GUGC,21/11/2003,Air France,,Active
2081,,Airbus A318,318-111,07/11/2003,16.4,D-AUAH,CFMI CFM56-5B8/P,2,F-GUGD,05/12/2003,Air France,,Active
2100,,Airbus A318,318-111,03/12/2003,16.4,D-AUAI,CFMI CFM56-5B8/P,2,F-GUGE,17/12/2003,Air France,,Active
2109,,Airbus A318,318-111,13/01/2004,16.2,D-AUAJ,CFMI CFM56-5B8/P,2,F-GUGF,02/04/2004,Air France,,Active
2218,,Airbus A318,318-111,26/04/2004,,D-AUAB,CFMI CFM56-5B8/P,2,N806FR,10/05/2004,Frontier Airlines,Tail animal named: Bison -  Humphrey - Stored 10/2010Scrapped,Scrapped
2276,,Airbus A318,318-111,18/08/2004,,D-AUAC,CFMI CFM56-5B8/P,2,N807FR,26/10/2004,Frontier Airlines,Tail animal named: Cougar - Charlie - Stored 09/2010  Scrapped,Scrapped
2317,,Airbus A318,318-111,07/10/2004,15.5,D-AUAA,CFMI CFM56-5B8/P,2,F-GUGG,29/10/2004,Air France,,Active
2328,,Airbus A318,318-111,15/10/2004,,D-AUAD,CFMI CFM56-5B8/P,2,XA-UBQ,10/11/2004,Mexicana,Ceased operations 28 aug 2010,Transferred
2328,,Airbus A318,318-111,15/10/2004,,D-AUAD,CFMI CFM56-5B8/P,2,N590EL,26/01/2011,Avianca,Stored 11/2019lsd from GECAS  Umb Bank Na Trustee,Stored
2333,,Airbus A318,318-111,21/10/2004,,D-AUAE,CFMI CFM56-5B8/P,2,XA-UBR,16/11/2004,Mexicana,Ceased operations 28 aug 2010,Transferred
2333,,Airbus A318,318-111,21/10/2004,,D-AUAE,CFMI CFM56-5B8/P,2,N591EL,25/02/2011,Avianca,Stored 12/2019 - To be returned to lessorlsd from UMB Bank,Stored
2344,,Airbus A318,318-111,04/11/2004,15.4,D-AUAF,CFMI CFM56-5B8/P,2,F-GUGH,06/12/2004,Air France,,Active
2350,,Airbus A318,318-111,10/11/2004,15.4,D-AUAG,CFMI CFM56-5B8/P,2,F-GUGI,13/12/2004,Air France,,Active
2358,,Airbus A318,318-111,19/11/2004,,D-AUAH,CFMI CFM56-5B8/P,2,XA-UBS,06/01/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2358,,Airbus A318,318-111,19/11/2004,,D-AUAH,CFMI CFM56-5B8/P,2,N592EL,14/03/2011,Avianca,Returned to lessor 11/2019  Umb Bank N A Trustee,Stored
2367,,Airbus A318,318-111,02/12/2004,,D-AUAI,CFMI CFM56-5B8/P,2,XA-UBT,19/01/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2367,,Airbus A318,318-111,02/12/2004,,D-AUAI,CFMI CFM56-5B8/P,2,N593EL,18/03/2011,Avianca,Stored 12/2019 (umb bank na trustee)lsd from GECAS,Stored
2377,,Airbus A318,318-111,22/12/2004,,D-AUAJ,CFMI CFM56-5B8/P,2,XA-UBU,20/01/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2377,,Airbus A318,318-111,22/12/2004,,D-AUAJ,CFMI CFM56-5B8/P,2,N594EL,04/04/2011,Avianca,Stored 10/2019 lsd from umb bank na trustee,Stored
2394,,Airbus A318,318-111,19/01/2005,,D-AUAK,CFMI CFM56-5B8/P,2,XA-UBV,11/02/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2394,,Airbus A318,318-111,19/01/2005,,D-AUAK,CFMI CFM56-5B8/P,2,N595EL,07/05/2011,Avianca,Stored 09/2019lsd from umb bank na trustee,Stored
2523,,Airbus A318,318-111,29/06/2005,,D-AUAA,CFMI CFM56-5B8/P,2,XA-UBW,21/07/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2523,,Airbus A318,318-111,29/06/2005,,D-AUAA,CFMI CFM56-5B8/P,2,N596EL,15/05/2011,Avianca,Returned to lessor 11/2019  Umb Bank Na Trustee,Stored
2544,,Airbus A318,318-111,03/08/2005,,D-AUAB,CFMI CFM56-5B8/P,2,XA-UBX,18/08/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2544,,Airbus A318,318-111,03/08/2005,,D-AUAB,CFMI CFM56-5B8/P,2,N597EL,23/05/2011,Avianca,Stored 12/2019 (umb bank na trustee)Lsd From Gecas,Stored
2552,,Airbus A318,318-111,24/08/2005,,D-AUAC,CFMI CFM56-5B8/P,2,XA-UBY,09/09/2005,Mexicana,Ceased operations 28 aug 2010,Transferred
2552,,Airbus A318,318-111,24/08/2005,,D-AUAC,CFMI CFM56-5B8/P,2,N598EL,07/06/2011,Avianca,Stored 12/2019lsd from UMB Bank,Stored
2575,,Airbus A318,318-112,28/09/2005,,D-AUAD,CFMI CFM56-5B8/P,2,XA-UBZ,13/10/2005,Mexicana,Ceased operations 28 aug 2010 as N599EL,Transferred
2575,,Airbus A318,318-112,28/09/2005,,D-AUAD,CFMI CFM56-5B8/P,2,N589AV,24/05/2011,Avianca,Stored 11/2019lsd from UMB Bank NA trustee,Stored
2582,,Airbus A318,318-111,05/10/2005,14.5,D-AUAE,CFMI CFM56-5B8/P,2,F-GUGJ,14/10/2005,Air France,,Active
2601,,Airbus A318,318-111,26/10/2005,14.5,D-AUAF,CFMI CFM56-5B8/P,2,F-GUGK,09/11/2005,Air France,,Active
2686,,Airbus A318,318-111,08/02/2006,14.2,D-AUAA,CFMI CFM56-5B8/P,2,F-GUGL,22/02/2006,Air France,,Active
2750,,Airbus A318,318-111,03/04/2006,14,D-AUAB,CFMI CFM56-5B8/P,2,F-GUGM,13/04/2006,Air France,,Active
2910,,Airbus A318,318-112CJ,10/10/2006,13.5,F-WWIB,CFMI CFM56-5B9/P,2,HB-IPP,10/05/2007,Comlux,,Transferred
2910,,Airbus A318,318-112CJ,10/10/2006,13.5,F-WWIB,CFMI CFM56-5B9/P,2,9H-AFM,29/01/2009,Comlux Aviation Malta,,Transferred
2910,,Airbus A318,318-112CJ,10/10/2006,13.5,F-WWIB,CFMI CFM56-5B9/P,2,HZ-A5,16/01/2012,Alpha Star,,Active
