serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
162,,Airbus A310,310-221,03/04/1982,,F-WZLH,,,HB-IPE,21/03/1984,Swissair,,Transferred
162,,Airbus A310,310-221,03/04/1982,,F-WZLH,,,F-GPDJ,20/06/1995,Air Liberte,lsd ILFC,Transferred
162,,Airbus A310,310-221,03/04/1982,,F-WZLH,,,N450FE,21/02/1997,Federal Express,Stored 05/2015Converted 310B4-221F,Stored
172,,Airbus A310,310-203,13/05/1982,,F-WZLI,GE CF6-80A3,2,F-GEMF,14/03/1986,Air France,wfu Chateauroux,Transferred
172,,Airbus A310,310-203,13/05/1982,,F-WZLI,GE CF6-80A3,2,TC-JYK,21/12/1994,Kibris Turk Hava Yollari (KTHY),Stored 2006,Stored
191,,Airbus A310,310-203,05/08/1982,,F-WZLJ,GE CF6-80A3,2,D-AICA,09/03/1984,Lufthansa,,Transferred
191,,Airbus A310,310-203,05/08/1982,,F-WZLJ,GE CF6-80A3,2,N401FE,27/01/1995,Federal Express,Scrapped in 2013Converted 310-203F - Stored 10/2009  Named Mickey,Scrapped
201,,Airbus A310,310-203,20/10/1982,,F-WZLK,GE CF6-80A3,2,D-AICB,29/03/1983,Lufthansa,,Transferred
201,,Airbus A310,310-203,20/10/1982,,F-WZLK,GE CF6-80A3,2,N402FE,11/03/1995,Federal Express,Converted 300B4-203FStored 03/2012,Stored
217,,Airbus A310,310-222,01/12/1982,,F-WZLL,PW JT9D-7R4E1,2,HB-IPC,28/06/1983,Swissair,,Transferred
217,,Airbus A310,310-222,01/12/1982,,F-WZLL,PW JT9D-7R4E1,2,F-GOCJ,02/11/1995,Air Liberte,,Transferred
217,,Airbus A310,310-222,01/12/1982,,F-WZLL,PW JT9D-7R4E1,2,N449FE,23/07/1997,Federal Express,Converted 310-221F - Stored at VCV 03/2009,Stored
224,,Airbus A310,310-221,05/01/1983,,F-WZEA,,,HB-IPA,25/03/1983,Swissair,,Transferred
224,,Airbus A310,310-221,05/01/1983,,F-WZEA,,,N446FE,01/10/1995,Federal Express,Converted 310-203F - Stored 02/2010,Stored
230,,Airbus A310,310-203,27/01/1983,,F-WZEB,GE CF6-80A3,2,D-AICC,27/03/1983,Lufthansa,,Transferred
230,,Airbus A310,310-203,27/01/1983,,F-WZEB,GE CF6-80A3,2,D-AICC,04/11/1993,Condor,,Transferred
230,,Airbus A310,310-203,27/01/1983,,F-WZEB,GE CF6-80A3,2,D-AICC,07/04/1994,RTL,,Transferred
230,,Airbus A310,310-203,27/01/1983,,F-WZEB,GE CF6-80A3,2,N403FE,13/04/1995,Federal Express,Stored 01/2015Converted 310-203F,Stored
233,,Airbus A310,310-203,07/02/1983,,F-WZEC,GE CF6-80A3,2,D-AICD,27/03/1983,Lufthansa,,Transferred
233,,Airbus A310,310-203,07/02/1983,,F-WZEC,GE CF6-80A3,2,N404FE,12/05/1995,Federal Express,Converted 310-203FStored 10/2011,Stored
237,,Airbus A310,310-203,22/02/1983,,F-WZED,GE CF6-80A3,2,D-AICF,31/03/1983,Lufthansa,,Transferred
237,,Airbus A310,310-203,22/02/1983,,F-WZED,GE CF6-80A3,2,D-AICF,01/05/1994,Condor,,Transferred
237,,Airbus A310,310-203,22/02/1983,,F-WZED,GE CF6-80A3,2,D-AICF,31/10/1994,Lufthansa,,Transferred
237,,Airbus A310,310-203,22/02/1983,,F-WZED,GE CF6-80A3,2,N405FE,07/07/1995,Federal Express,Converted 310-203FStored 12/2011,Stored
241,,Airbus A310,310-203,08/03/1983,,F-WZEE,GE CF6-80A3,2,PH-AGA,26/04/1983,KLM,,Transferred
241,,Airbus A310,310-203,08/03/1983,,F-WZEE,GE CF6-80A3,2,F-WZEE,28/04/1983,Airbus Industrie,,Transferred
241,,Airbus A310,310-203,08/03/1983,,F-WZEE,GE CF6-80A3,2,PH-AGA,15/10/1983,KLM,,Transferred
241,,Airbus A310,310-203,08/03/1983,,F-WZEE,GE CF6-80A3,2,N424FE,06/06/1996,Federal Express,Converted 300B4-203F - Stored at VCV 10/2009,Stored
245,,Airbus A310,310-203,04/05/1983,,F-WZEG,GE CF6-80A3,2,PH-AGB,17/06/1983,KLM,,Transferred
245,,Airbus A310,310-203,04/05/1983,,F-WZEG,GE CF6-80A3,2,N426FE,01/12/1996,Federal Express,Stored 02/2016Converted 310-203F,Stored
248,,Airbus A310,310-203,12/04/1983,,F-WZEF,GE CF6-80A3,2,PH-AGC,27/05/1983,KLM,,Transferred
248,,Airbus A310,310-203,12/04/1983,,F-WZEF,GE CF6-80A3,2,N428FE,03/10/1995,Federal Express,lsd ILFC,Transferred
248,,Airbus A310,310-203,12/04/1983,,F-WZEF,GE CF6-80A3,2,PH-AGC,12/01/1996,MEA,,Transferred
248,,Airbus A310,310-203,12/04/1983,,F-WZEF,GE CF6-80A3,2,N428FE,03/08/1997,Federal Express,Stored 12/2013Converted 310-203F,Stored
251,,Airbus A310,310-221,20/04/1983,,F-WZEH,,,HB-IPB,30/05/1983,Swissair,,Transferred
251,,Airbus A310,310-221,20/04/1983,,F-WZEH,,,N447FE,19/03/1996,Federal Express,Converted 310-221FStored 07/2012,Stored
254,,Airbus A310,310-203,27/04/1983,,F-WZEI,GE CF6-80A3,2,D-AICH,01/06/1983,Lufthansa,,Transferred
254,,Airbus A310,310-203,27/04/1983,,F-WZEI,GE CF6-80A3,2,N407FE,18/07/1994,Federal Express,Converted 300B4-203F - Stored at VCV 08/2009,Stored
257,,Airbus A310,310-203,25/05/1983,,F-WZEJ,GE CF6-80A3,2,D-AICK,07/07/1983,Lufthansa,,Transferred
257,,Airbus A310,310-203,25/05/1983,,F-WZEJ,GE CF6-80A3,2,TC-JFO,18/03/1994,Kibris Turk Hava Yollari (KTHY),,Transferred
257,,Airbus A310,310-203,25/05/1983,,F-WZEJ,GE CF6-80A3,2,N408FE,05/08/1995,Federal Express,Scrapped 03/2013Converted 300B4-203F - Stored 10/2009,Scrapped
260,,Airbus A310,310-221,27/06/1983,,F-WZEK,,,HB-IPD,14/10/1983,Swissair,,Transferred
260,,Airbus A310,310-221,27/06/1983,,F-WZEK,,,N448FE,31/05/1996,Federal Express,Converted A310-221F - Stored at VCV 08/2009,Stored
264,,Airbus A310,310-203,04/08/1983,,F-WZEL,GE CF6-80A3,2,PH-AGD,12/12/1983,KLM,,Transferred
264,,Airbus A310,310-203,04/08/1983,,F-WZEL,GE CF6-80A3,2,N425FE,25/11/1996,Federal Express,Stored 02/2013Converted A310-203F,Stored
267,,Airbus A310,310-222,29/07/1983,,F-WZEM,PW JT9D-7R4E1,2,9K-AHA,28/09/1983,Kuwait Airways,,Transferred
267,,Airbus A310,310-222,29/07/1983,,F-WZEM,PW JT9D-7R4E1,2,YI-AOC,02/08/1990,szd Iraq,,Transferred
267,,Airbus A310,310-222,29/07/1983,,F-WZEM,PW JT9D-7R4E1,2,A7-ABA,01/01/1994,Qatar Airways,,Transferred
267,,Airbus A310,310-222,29/07/1983,,F-WZEM,PW JT9D-7R4E1,2,F-OHPE,08/06/1995,Oasis Int Airlines,,Transferred
267,,Airbus A310,310-222,29/07/1983,,F-WZEM,PW JT9D-7R4E1,2,SU-ZCC,27/10/1997,Heliopolis Airlines,,Transferred
