serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
95108,,Sukhoi SuperJet 100,100-95B,15/01/2016,,97016,SaM146,2,EI-FWB,01/07/2016,CityJet,,Transferred
95108,,Sukhoi SuperJet 100,100-95B,15/01/2016,,97016,SaM146,2,EI-FWB,26/03/2017,Brussels Airlines,lsd from CityJet,Transferred
95108,,Sukhoi SuperJet 100,100-95B,15/01/2016,,97016,SaM146,2,EI-FWB,08/01/2019,CityJet,Stored 01/2019 as 9H-SJB Rj Leasing Limited,Stored
95109,,Sukhoi SuperJet 100,100-95LR,11/07/2016,3.7,89068,SaM146,2,RA-89068,07/02/2017,Yamal Airlines,Lsd From Gtlk,Active
95111,,Sukhoi SuperJet 100,100-95B,31/05/2016,,97011,SaM146,2,EI-FWC,02/11/2016,CityJet,,Transferred
95111,,Sukhoi SuperJet 100,100-95B,31/05/2016,,97011,SaM146,2,EI-FWC,25/03/2017,Brussels Airlines,Lsd From Cityjet,Transferred
95111,,Sukhoi SuperJet 100,100-95B,31/05/2016,,97011,SaM146,2,EI-FWC,29/08/2018,CityJet,Stored 08/2018 as 9H-SJC  Rj Leasing Limited,Stored
95112,,Sukhoi SuperJet 100,100-95LR,27/07/2016,3.7,89069,SaM146,2,RA-89069,09/02/2017,Yamal Airlines,Stored 07/2018 to 12/2019	Lsd From Gtlk,Active
95113,,Sukhoi SuperJet 100,100-95LR,06/09/2016,3.6,89070,SaM146,2,RA-89070,13/02/2017,Yamal Airlines,Stored 10/2018 to 03//2019	Lsd From Gtlk,Active
95114,,Sukhoi SuperJet 100,100-95LR,21/09/2016,3.6,89071,SaM146,2,RA-89071,16/02/2017,Yamal Airlines,Stored 05/2018 to 09/2019Lsd From Gtlk,Active
95115,,Sukhoi SuperJet 100,100-95LR,07/10/2016,3.5,89072,SaM146,2,RA-89072,22/02/2017,Yamal Airlines,Lsd From Gtlk,Active
95116,,Sukhoi SuperJet 100,100-95LR,25/10/2016,3.5,89073,SaM146,2,RA-89073,22/02/2017,Yamal Airlines,Lsd From Gtlk    Named  Roman Filipov,Active
95117,,Sukhoi SuperJet 100,100-95B,04/12/2016,,97004,SaM146,2,EI-FWE,08/05/2017,CityJet,,Transferred
95117,,Sukhoi SuperJet 100,100-95B,04/12/2016,,97004,SaM146,2,EI-FWE,09/05/2017,Brussels Airlines,lsd from CityJet,Transferred
95117,,Sukhoi SuperJet 100,100-95B,04/12/2016,,97004,SaM146,2,EI-FWE,12/11/2018,CityJet,Stored 11/2018 (lsd RJ leasing limited) as 9H-SJE,Stored
95118,,Sukhoi SuperJet 100,100-95B,22/11/2016,,97010,SaM146,2,EI-FWF,08/05/2017,CityJet,,Transferred
95118,,Sukhoi SuperJet 100,100-95B,22/11/2016,,97010,SaM146,2,EI-FWF,01/06/2017,Brussels Airlines,lsd from CityJet,Transferred
95118,,Sukhoi SuperJet 100,100-95B,22/11/2016,,97010,SaM146,2,EI-FWF,07/01/2019,CityJet,Stored 01/2019 (RJ leasing limited),Stored
95119,,Sukhoi SuperJet 100,100-95LR,06/12/2016,3.3,89075,SaM146,2,RA-89075,03/04/2017,IrAero,Lsf Gtlk,Active
95120,,Sukhoi SuperJet 100,100-95B,16/12/2016,,97011,SaM146,2,EI-FWG,Due,Brussels Airlines,lsd from CityJet,Transferred
95120,,Sukhoi SuperJet 100,100-95B,16/12/2016,,97011,SaM146,2,EI-FWG,29/06/2018,CityJet,,Transferred
95120,,Sukhoi SuperJet 100,100-95B,16/12/2016,,97011,SaM146,2,EI-FWG,29/06/2018,Brussels Airlines,lsd from CityJet,Transferred
95120,,Sukhoi SuperJet 100,100-95B,16/12/2016,,97011,SaM146,2,EI-FWG,01/10/2018,CityJet,Stored 10/2018 as 9H-SJI,Stored
95121,,Sukhoi SuperJet 100,100-95LR,27/12/2016,3.3,89076,SaM146,2,RA-89076,27/04/2017,IrAero,Lsd From Gtlk  Named Alexander Nevsky,Active
95122,,Sukhoi SuperJet 100,100-95B,18/01/2017,,97012,SaM146,2,EI-,Due,CityJet,,On order
95123,,Sukhoi SuperJet 100,100-95LR,02/02/2017,3.2,97013,SaM146,2,RA-89085,29/09/2017,Azimuth,lsd from gtlk  Named  Volga,Active
95124,,Sukhoi SuperJet 100,100-95LR,08/02/2017,3.2,89077,SaM146,2,RA-89077,04/05/2017,IrAero,Lsd From Gtlk,Active
95125,,Sukhoi SuperJet 100,100-95LR,04/07/2017,2.8,89086,SaM146,2,RA-89086,06/04/2018,Yamal Airlines,Lsd From  Gtlk,Active
95126,,Sukhoi SuperJet 100,100-95LR,03/03/2017,3.1,89078,SaM146,2,RA-89078,26/06/2017,IrAero,Lsd From Gtlk,Active
95127,,Sukhoi SuperJet 100,100-95LR,15/02/2018,2.2,,SaM146,2,RA-89087,06/04/2018,Yamal Airlines,Lsd From Gtlk,Active
95128,,Sukhoi SuperJet 100,100-95LR,23/03/2017,3,89079,SaM146,2,RA-89079,07/07/2017,Azimuth,lsd from GTLK  Named Terek,Active
95129,,Sukhoi SuperJet 100,100-95LR,06/04/2017,3,89080,SaM146,2,RA-89080,18/07/2017,Azimuth,Lsd From Gtlk  Named  Don,Active
95130,,Sukhoi SuperJet 100,100-95B,11/04/2017,3,97017,SaM146,2,RA-89088,27/11/2017,Yamal Airlines,Lsd From Gtlk,Active
95131,,Sukhoi SuperJet 100,100-95LR,21/04/2017,3,95131,SaM146,2,RA-89081,02/11/2017,Yamal Airlines,Lsd From Gtlk,Active
95132,,Sukhoi SuperJet 100,100-95SBJ,23/05/2017,2.9,97014,,,30319,19/06/2018,Royal Thai Air Force,,Active
95133,,Sukhoi SuperJet 100,100-95B,25/05/2017,2.9,89097,SaM146,2,RA-89097,20/09/2017,Aeroflot,Named P. Derunov  Lsd From Veb-leasing,Active
95134,,Sukhoi SuperJet 100,100-95LR,09/06/2017,2.8,89082,SaM146,2,RA-89082,01/04/2018,Yamal Airlines,Lsd From Gtlk,Active
95135,,Sukhoi SuperJet 100,100-95B,21/06/2017,,89098,SaM146,2,RA-89098,27/09/2017,Aeroflot,,Written off
95136,,Sukhoi SuperJet 100,100-95LR,05/07/2017,2.8,89089,SaM146,2,RA-89089,21/04/2018,Yamal Airlines,Lsd From Gtlk,Active
95137,,Sukhoi SuperJet 100,100-95B,12/07/2017,2.7,89099,SaM146,2,RA-89099,19/12/2017,Aeroflot,Named K. Kuliev,Active
95138,,Sukhoi SuperJet 100,100-95B,19/07/2017,2.7,89100,SaM146,2,RA-89100,18/11/2017,Aeroflot,Named Yuri Israel,Active
95139,,Sukhoi SuperJet 100,100-95B,25/07/2017,2.7,89101,SaM146,2,RA-89101,07/12/2017,Aeroflot,Named M. Lomonosov,Active
95140,,Sukhoi SuperJet 100,100-95LR,30/08/2017,2.6,89090,SaM146,2,RA-89090,18/04/2018,Yamal Airlines,Lsd From Gtlk,Active
95141,,Sukhoi SuperJet 100,100-95B,06/09/2017,2.6,89102,SaM146,2,RA-89102,16/03/2018,Aeroflot,Named S. Dezhnev,Active
95142,,Sukhoi SuperJet 100,100-95B,15/09/2017,2.6,95142,SaM146,2,RA-89103,30/12/2017,Aeroflot,Named V.bykov,Active
