serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
48757,606,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,N68091,01/07/2016,Federal Express,Stored since 07/2016 for parts,Stored
48758,615,McDonnell Douglas MD-11,MD-11 ERF,Unknown,,,GE CF6-80C2D1F,3,PK-GIM,01/11/1997,Garuda,,Transferred
48758,615,McDonnell Douglas MD-11,MD-11 ERF,Unknown,,,GE CF6-80C2D1F,3,PP-VQK,14/11/1999,Varig,,Transferred
48758,615,McDonnell Douglas MD-11,MD-11 ERF,Unknown,,,GE CF6-80C2D1F,3,PT-MSI,18/02/2007,TAM,,Transferred
48758,615,McDonnell Douglas MD-11,MD-11 ERF,Unknown,,,GE CF6-80C2D1F,3,ET-AML,31/01/2009,Ethiopian Airlines,Stored 08/2015 as N546BC (BCC),Stored
48766,600,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N6203U,01/03/1996,McDonnell Douglas,,Transferred
48766,600,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,OO-CTB,09/12/1996,CityBird,Stored at Victorville 02/10/02 as P4-BDL,Transferred
48766,600,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,OH-LGF,06/06/2004,Finnair,Stored 01/2010,Transferred
48766,600,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,EI-EMS,04/06/2010,CargoItalia,Ceased operations 21 dec. 2011  Lsd From Boeing Capital CorpStored as N460BC,Stored
48767,602,McDonnell Douglas MD-11,MD-11 F,Unknown,23.8,,GE CF6-80C2D1F,3,N615FE,26/06/1996,Federal Express,,Active
48768,601,McDonnell Douglas MD-11,MD-11 F,Unknown,23.9,,GE CF6-80C2D1F,3,N9134D,01/06/1996,McDonnell Douglas,,Transferred
48768,601,McDonnell Douglas MD-11,MD-11 F,Unknown,23.9,,GE CF6-80C2D1F,3,PP-SFA,26/06/1996,VASP,,Transferred
48768,601,McDonnell Douglas MD-11,MD-11 F,Unknown,23.9,,GE CF6-80C2D1F,3,N252UP,07/06/2001,UPS,Converted to freighter,Active
48769,603,McDonnell Douglas MD-11,MD-11 F,Unknown,23.4,,GE CF6-80C2D1F,3,PP-SFD,27/11/1996,VASP,,Transferred
48769,603,McDonnell Douglas MD-11,MD-11 F,Unknown,23.4,,GE CF6-80C2D1F,3,PP-VQX,18/05/2001,Varig,Ex N799BA - Stored at GIG 04/2006,Transferred
48769,603,McDonnell Douglas MD-11,MD-11 F,Unknown,23.4,,GE CF6-80C2D1F,3,PT-MSJ,29/04/2007,TAM,Last service 13/12/08,Transferred
48769,603,McDonnell Douglas MD-11,MD-11 F,Unknown,23.4,,GE CF6-80C2D1F,3,N573FE,03/09/2009,Federal Express,,Active
48770,607,McDonnell Douglas MD-11,MD-11 F,Unknown,23.4,,GE CF6-80C2D1F,3,N619FE,14/11/1996,Federal Express,"Named ""lyndon""",Active
48773,609,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N90187,16/01/1997,McDonell Douglas,,Transferred
48773,609,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,HZ-ANA,24/12/1997,Saudi Arabian Airlines,Stored as N773ML,Stored
48774,610,McDonnell Douglas MD-11,MD-11 F,Unknown,23.1,,GE CF6-80C2D1F,3,JA8589,03/03/1997,Japan Airlines,,Transferred
48774,610,McDonnell Douglas MD-11,MD-11 F,Unknown,23.1,,GE CF6-80C2D1F,3,N275UP,25/07/2003,UPS,,Active
48775,616,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,HZ-ANB,30/12/1997,Saudi Arabian Airlines,Stored as N775BC,Stored
48776,617,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N90178,01/09/1997,McDonnell Douglas,,Transferred
48776,617,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,HZ-ANC,31/12/1997,Saudi Arabian Airlines,Stored 06/2014 as N776ML  Scrapped,Scrapped
48777,618,McDonnell Douglas MD-11,MD-11 F,14/12/1997,,N9166N,GE CF6-80C2D1F,3,N9166N,14/12/1997,McDonnell Douglas,,Transferred
48777,618,McDonnell Douglas MD-11,MD-11 F,14/12/1997,,N9166N,GE CF6-80C2D1F,3,HZ-AND,09/01/1998,Saudi Arabian Airlines,Stored as N618TF,Stored
48778,619,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16108,19/11/1997,EVA Air,Stored 10/2014,Stored
48779,620,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16109,22/12/1997,EVA Air,Scrapped 01/2016Stored 01/2015,Scrapped
48780,624,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,OO-CTC,16/04/1998,Sabena,Last passenger-carrying MD-11 built,Transferred
48780,624,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,OO-CTC,01/03/2001,CityBird,Stored as P4-SWM,Transferred
48780,624,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,OH-LGE,21/02/2003,Finnair,Stored 04/2009 as N588BC,Transferred
48780,624,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,ET-AND,18/09/2009,Ethiopian Airlines,Scrapped end of 2017Stored 02/2015 as N545BC (BCC),Scrapped
48781,625,McDonnell Douglas MD-11,MD-11 F,19/03/1998,22.1,N9020Q,GE CF6-80C2D1F,3,D-ALCA,25/06/1998,Lufthansa,Stored 04/2017 to 11/2017,Active
48782,626,McDonnell Douglas MD-11,MD-11 F,Unknown,22,N9166N,GE CF6-80C2D1F,3,N9166N,01/04/1998,McDonnell Douglas,,Transferred
48782,626,McDonnell Douglas MD-11,MD-11 F,Unknown,22,N9166N,GE CF6-80C2D1F,3,D-ALCB,25/06/1998,Lufthansa,,Active
48783,627,McDonnell Douglas MD-11,MD-11 F,Unknown,21.7,,GE CF6-80C2D1F,3,D-ALCC,13/08/1998,Lufthansa,,Active
48784,628,McDonnell Douglas MD-11,MD-11 F,Unknown,21.6,,GE CF6-80C2D1F,3,D-ALCD,17/09/1998,Lufthansa,Named Michael Otto,Active
48785,629,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCE,22/10/1998,Lufthansa,Last flight 08/08/19Named marhaba TurkeyStored 03/2009 - Back in service 10/2009,Transferred
48785,629,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N646FE,14/08/2019,Federal Express,,Stored
48786,630,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16110,14/10/1998,EVA Air,Stored 01/2014,Stored
48787,631,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16111,12/11/1998,EVA Air,Scrapped 10/2014Stored 08/2013,Scrapped
48788,632,McDonnell Douglas MD-11,MD-11 F,Unknown,,,PW PW4460,3,PH-MCW,20/11/1998,Martinair Holland,Stored 03/2016Named Martin Scröder,Stored
48789,633,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N90178,01/11/1998,McDonnell Douglas,,Transferred
48789,633,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16112,29/07/1999,EVA Air,Stored 03/2014  Scrapped 05/2017,Scrapped
48790,634,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N9030Q,01/02/1999,McDonnell Douglas,,Transferred
48790,634,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,B-16113,26/08/1999,EVA Air,Stored 03/2015Stored 03/2009 - Back in service 05/2010,Stored
48791,635,McDonnell Douglas MD-11,MD-11 F,Unknown,21,,PW 4000,3,N620FE,29/03/1999,Federal Express,Named Brandy,Active
48792,636,McDonnell Douglas MD-11,MD-11 F,Unknown,20.9,,PW PW4462,3,N621FE,28/05/1999,Federal Express,Named Conner - leased from SSBT,Active
48794,638,McDonnell Douglas MD-11,MD-11 F,25/05/1999,20.9,,PW PW4462,3,N623FE,28/06/1999,Federal Express,Named Meghan  - leased from ILFC,Active
48798,637,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCF,27/08/1999,Lufthansa,Stored 12/2019 as N647FE boeing aircraft holding coNamed Marhaba Egypt,Stored
48799,639,McDonnell Douglas MD-11,MD-11 F,Unknown,20.5,,GE CF6-80C2D1F,3,D-ALCG,12/10/1999,Lufthansa,Stored 12/2015NamedKonnichiwa Japan,Transferred
48799,639,McDonnell Douglas MD-11,MD-11 F,Unknown,20.5,,GE CF6-80C2D1F,3,N799JN,19/02/2019,Western Global Airlines,,Active
48800,641,McDonnell Douglas MD-11,MD-11 F,Unknown,20.2,,GE CF6-80C2D1F,3,D-ALCI,27/01/2000,Lufthansa,"Named Hello, Bonjour Canada",Active
48801,640,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCH,24/11/1999,Lufthansa,Stored 03/2020Named ¡Buenos días México!,Transferred
48801,640,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N649FE,27/03/2020,Federal Express,,Stored
48802,642,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCJ,23/03/2000,Lufthansa,Stored 02/2020Named namaste India,Transferred
48802,642,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N648FE,24/02/2020,Federal Express,Stored 12/2019,Stored
48803,643,McDonnell Douglas MD-11,MD-11 F,Unknown,20,N9166N,GE CF6-80C2D1F,3,N9166N,10/04/2000,Boeing,,Transferred
48803,643,McDonnell Douglas MD-11,MD-11 F,Unknown,20,N9166N,GE CF6-80C2D1F,3,D-ALCK,31/05/2000,Lufthansa,Named Lüren,Active
48804,644,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,D-ALCL,24/08/2000,Lufthansa,Stored 08/2017Stored 04/2016 to 07/2016,Transferred
48804,644,McDonnell Douglas MD-11,MD-11 F,Unknown,,,GE CF6-80C2D1F,3,N804SN,29/06/2018,Western Global Airlines,Stored 06/2018,Stored
48805,645,McDonnell Douglas MD-11,MD-11 F,Unknown,19.5,N6069R,GE CF6-80C2D1F,3,N90178,01/10/2000,Boeing,,Transferred
48805,645,McDonnell Douglas MD-11,MD-11 F,Unknown,19.5,N6069R,GE CF6-80C2D1F,3,N6069R,01/11/2000,Boeing,,Transferred
48805,645,McDonnell Douglas MD-11,MD-11 F,Unknown,19.5,N6069R,GE CF6-80C2D1F,3,D-ALCM,22/02/2001,Lufthansa,Stored 09/2019 as N738BC (Boeing aircraft holding co)Stored 11/2016 after landing incidentBack in service 04/2017,Transferred
48805,645,McDonnell Douglas MD-11,MD-11 F,Unknown,19.5,N6069R,GE CF6-80C2D1F,3,N738BC,24/01/2020,UPS,,Active
48806,646,McDonnell Douglas MD-11,MD-11 F,Unknown,19.2,,GE CF6-80C2D1F,3,D-ALCN,25/01/2001,Lufthansa,Stored 11/2019 as N742BC (boeing aircraft holding co) Last MD-11 builtNamed Heidenheim an der brenz,Transferred
48806,646,McDonnell Douglas MD-11,MD-11 F,Unknown,19.2,,GE CF6-80C2D1F,3,N742BC,25/01/2020,UPS,,Active
