serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N731PA,11/07/1970,Pan Am,Named Clipper Ocean Express,Transferred
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N731PA,03/01/1971,Eastern Airlines EAL,,Transferred
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N731PA,29/04/1971,Pan Am,,Transferred
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N731PA,01/11/1971,Eastern Airlines EAL,lsd,Transferred
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N731PA,10/05/1987,Tower Air,,Transferred
19637,4,Boeing 747,747-121,10/05/1969,,,PW JTD-7A,4,N474EV,01/07/1990,Evergreen Int,Converted 747-121F - Broken up Marana around 1999,Scrapped
19638,3,Boeing 747,747-121F,10/07/1969,,,PW JT9D-7A,4,N732PA,13/07/1970,Pan Am,Named Clipper Ocean Telegraph,Transferred
19638,3,Boeing 747,747-121F,10/07/1969,,,PW JT9D-7A,4,N475EV,01/07/1991,Evergreen Int,Converted 747-121F,Transferred
19638,3,Boeing 747,747-121F,10/07/1969,,,PW JT9D-7A,4,N615FF,13/09/1994,Tower Air,,Transferred
19638,3,Boeing 747,747-121F,10/07/1969,,,PW JT9D-7A,4,N615FF,08/03/2005,Kalitta Air,,Stored
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747PA,03/10/1970,Pan Am,Named Clipper America,Transferred
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747QC,21/11/1973,Air Zaire,,Transferred
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747PA,31/03/1975,Pan Am,Named Clipper Juan T. Trippe,Transferred
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747PA,13/07/1992,Aeroposta,,Transferred
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747PA,01/05/1993,Kabo Air,,Transferred
19639,2,Boeing 747,747-121,11/04/1969,,,PW JTD-7A,4,N747PA,24/06/1993,Aeroposta,Scrapped In 2010,Scrapped
19640,6,Boeing 747,747-121,24/10/1969,,,PW JTD-7A,4,N733PA,12/12/1969,Pan Am,Named Clipper Pride of the Sea,Transferred
19640,6,Boeing 747,747-121,24/10/1969,,,PW JTD-7A,4,5N-THG,06/05/1992,Trans Air Service,,Scrapped
19641,7,Boeing 747,747-121,31/10/1969,,,PW JTD-7A,4,N734PA,19/12/1969,Pan Am,Named Clipper Champion of the Seas,Transferred
19641,7,Boeing 747,747-121,31/10/1969,,,PW JTD-7A,4,N491GX,19/03/1992,Wilm,Converted 747-121F,Transferred
19641,7,Boeing 747,747-121,31/10/1969,,,PW JTD-7A,4,N491GX,02/09/1992,Federal Express,,Transferred
19641,7,Boeing 747,747-121,31/10/1969,,,PW JTD-7A,4,N691UP,15/10/1993,UPS,Scrapped at Goodyear 2002,Scrapped
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N735PA,09/01/1970,Pan Am,Named Clipper Young America,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N735PA,26/11/1970,Eastern Airlines EAL,,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N735PA,30/04/1972,Pan Am,Converted 747-121F - Named Clipper Spark of the Ocean,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,VR-HKB,12/11/1992,Air Hong Kong,,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N735PA,14/05/1993,Polar Air Cargo,,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N735SJ,01/10/1993,Polar Air Cargo,,Transferred
19642,10,Boeing 747,747-121SF,22/12/1969,,,PW JTD-7A,2,N830FT,17/03/1995,Polar Air Cargo,,Stored
19643,11,Boeing 747,747-121,24/12/1969,,,PW JTD-7A,4,N736PA,20/01/1970,Pan Am,,Written off
19644,13,Boeing 747,747-121,09/01/1970,,,PW JTD-7A,4,N737PA,21/01/1970,Pan Am,,Transferred
19644,13,Boeing 747,747-121,09/01/1970,,,PW JTD-7A,4,N737PA,01/01/1971,Eastern Airlines EAL,lsd,Transferred
19644,13,Boeing 747,747-121,09/01/1970,,,PW JTD-7A,4,N737PA,05/05/1972,Pan Am,,Transferred
19644,13,Boeing 747,747-121,09/01/1970,,,PW JTD-7A,4,5N-HHS,06/05/1992,Trans Air Service,,Scrapped
19645,14,Boeing 747,747-121,19/01/1970,,,PW JTD-7A,4,N738PA,05/02/1970,Pan Am,,Written off
19646,15,Boeing 747,747-121,25/01/1970,,,PW JTD-7A,4,N739PA,15/02/1970,Pan Am,,Written off
