serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
22172,9,Boeing 757,757-236SF,25/10/1982,,,RR RB211-535,2,G-BIKA,28/03/1983,British Airways,,Transferred
22172,9,Boeing 757,757-236SF,25/10/1982,,,RR RB211-535,2,OO-DLN,07/07/2000,European Air Transport,Converted 757-236F,Transferred
22172,9,Boeing 757,757-236SF,25/10/1982,,,RR RB211-535,2,D-ALEA,26/03/2010,EAT Leipzig,,Transferred
22172,9,Boeing 757,757-236SF,25/10/1982,,,RR RB211-535,2,G-BIKA,17/03/2016,DHL Air,Scrapped 11/2017Stored 12/2016Lsd From Bcc,Scrapped
22173,10,Boeing 757,757-236SF,23/12/1982,,,RR RB211-535,2,G-BIKB,25/01/1983,British Airways,,Transferred
22173,10,Boeing 757,757-236SF,23/12/1982,,,RR RB211-535,2,G-BIKB,08/10/2001,DHL Airways,Converted 757-236F,Transferred
22173,10,Boeing 757,757-236SF,23/12/1982,,,RR RB211-535,2,OO-DPF,00/03/2002,European Air Transport,,Transferred
22173,10,Boeing 757,757-236SF,23/12/1982,,,RR RB211-535,2,D-ALEB,26/03/2010,EAT Leipzig,,Transferred
22173,10,Boeing 757,757-236SF,23/12/1982,,,RR RB211-535,2,G-BIKB,01/09/2015,DHL Air,Stored 08/2017 - To be scrappedLsd From Bcc,Stored
22174,11,Boeing 757,757-236SF,06/01/1983,,,RR RB211-535,2,G-BIKC,31/01/1983,British Airways,,Transferred
22174,11,Boeing 757,757-236SF,06/01/1983,,,RR RB211-535,2,G-BIKC,27/03/2002,DHL Air,ScrappedStored 10/2016Converted 757-236F,Scrapped
22175,13,Boeing 757,757-236SF,18/02/1983,,,RR RB211-535,2,G-BIKD,10/03/1983,British Airways,,Transferred
22175,13,Boeing 757,757-236SF,18/02/1983,,,RR RB211-535,2,G-BIKD,08/06/2001,DHL Airways,Converted 757-236F,Transferred
