serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1,,Airbus A350,350-941,14/06/2013,6.8,F-WXWB,RR Trent XWB,2,F-WXWB,14/06/2013,Airbus Industrie,,Active
2,,Airbus A350,350-941,26/02/2014,6.1,F-WWCF,RR Trent XWB,2,F-WWCF,26/02/2014,Airbus Industrie,,Active
3,,Airbus A350,350-941XWB,14/10/2013,6.5,F-WZGG,RR Trent XWB,2,F-WZGG,14/10/2013,Airbus Industrie,,Active
4,,Airbus A350,350-941,26/02/2014,,F-WZNW,RR Trent XWB,2,F-WZNW,26/02/2014,Airbus Industrie,,Stored
5,,Airbus A350,350-941,20/06/2014,5.8,F-WWYB,RR Trent XWB,2,F-WWYB,20/06/2014,Airbus Industrie,,Transferred
5,,Airbus A350,350-941,20/06/2014,5.8,F-WWYB,RR Trent XWB,2,F-HREU,30/06/2017,French blue,,Transferred
5,,Airbus A350,350-941,20/06/2014,5.8,F-WWYB,RR Trent XWB,2,F-HREU,31/01/2018,French bee,Lsd  Airinvest 6,Active
6,,Airbus A350,350-941,15/10/2014,5.5,F-WZFA,RR Trent XWB,2,A7-ALA,22/12/2014,Qatar Airways,Named Sudanthel  Lsd From Gecas,Active
7,,Airbus A350,350-941,21/01/2015,5.2,,RR Trent XWB,2,A7-ALB,05/03/2015,Qatar Airways,,Active
8,,Airbus A350,350-941,09/07/2015,4.8,F-WZFC,RR Trent XWB,2,A7-ALE,30/10/2015,Qatar Airways,,Active
9,,Airbus A350,350-941,23/03/2015,5.1,F-WZFD,RR Trent XWB,2,A7-ALC,07/05/2015,Qatar Airways,,Active
10,,Airbus A350,350-941,11/05/2015,4.9,F-WZFE,RR Trent XWB,2,A7-ALD,14/06/2015,Qatar Airways,,Active
11,,Airbus A350,350-941,28/08/2015,4.6,F-WZFF,RR Trent XWB,2,A7-ALF,30/10/2015,Qatar Airways,,Active
12,,Airbus A350,350-941,05/02/2016,4.2,F-WZFG,RR Trent XWB,2,A7-ALH,08/03/2016,Qatar Airways,,Active
13,,Airbus A350,350-941,08/10/2015,4.5,F-WZFH,RR Trent XWB,2,A7-ALG,21/11/2015,Qatar Airways,,Active
14,,Airbus A350,350-941,01/06/2015,4.9,F-WZFI,RR Trent XWB,2,VN-A886,30/06/2015,Vietnam Airlines,Lsd From Aercap,Active
15,,Airbus A350,350-941,31/07/2015,4.7,F-WZFJ,RR Trent XWB,2,VN-A887,19/08/2015,Vietnam Airlines,lsd fom CIT,Active
16,,Airbus A350,350-941,10/09/2015,4.6,F-WZFK,RR Trent XWB,2,VN-A888,20/10/2015,Vietnam Airlines,Lsd From Aercap,Active
17,,Airbus A350,350-941,30/10/2015,4.5,F-WZFL,RR Trent XWB,2,VN-A889,02/12/2015,Vietnam Airlines,Lsd From Cit,Active
18,,Airbus A350,350-941,16/09/2015,4.6,F-WZFM,RR Trent XWB,2,OH-LWA,07/10/2015,Finnair,Lsd From Gecas,Active
19,,Airbus A350,350-941,22/10/2015,4.5,F-WZFN,RR Trent XWB,2,OH-LWB,14/12/2015,Finnair,Lsd From Avolon,Active
20,,Airbus A350,350-941,07/11/2015,4.4,F-WZFO,RR Trent XWB,2,OH-LWC,31/12/2015,Finnair,,Active
21,,Airbus A350,350-941,14/03/2016,4.1,F-WZFP,RR Trent XWB,2,A7-ALI,02/07/2016,Qatar Airways,,Active
22,,Airbus A350,350-941,04/12/2015,4.4,D-WZFQ,RR Trent XWB,2,OH-LWD,25/03/2016,Finnair,,Active
23,,Airbus A350,350-941,07/01/2016,4.3,F-WZFR,RR Trent XWB,2,OH-LWE,29/04/2016,Finnair,,Active
24,,Airbus A350,350-941,01/12/2015,4.4,F-WZFS,RR Trent XWB,2,PR-XTA,16/12/2015,TAM,,Transferred
24,,Airbus A350,350-941,01/12/2015,4.4,F-WZFS,RR Trent XWB,2,PR-XTA,05/05/2016,LATAM Brasil,Stored 12/2018 to 01/2019,Active
25,,Airbus A350,350-941,06/05/2016,3.9,F-WZFT,RR Trent XWB,2,A7-ALJ,01/08/2016,Qatar Airways,,Active
26,,Airbus A350,350-941,02/02/2016,4.2,F-WZFU,RR Trent XWB,2,9V-SMA,02/03/2016,Singapore Airlines,,Active
