serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
1,,Airbus A300,300B1,28/10/1972,,F-WUAB,GE CF6-50C,2,F-OCAZ,28/10/1972,Airbus Industrie,1St Proto - Scrapped 27/08/74,Scrapped
2,,Airbus A300,300B1,05/02/1973,,F-WUAC,GE CF6-50C,2,OO-TEF,25/11/1974,TEA,,Transferred
2,,Airbus A300,300B1,05/02/1973,,F-WUAC,GE CF6-50C,2,OO-TEF,25/11/1974,Air Algerie,lsd,Transferred
2,,Airbus A300,300B1,05/02/1973,,F-WUAC,GE CF6-50C,2,OO-TEF,07/01/1980,Air Inter,,Transferred
2,,Airbus A300,300B1,05/02/1973,,F-WUAC,GE CF6-50C,2,OO-TEF,20/09/1980,Air Algerie,lsd,Transferred
2,,Airbus A300,300B1,05/02/1973,,F-WUAC,GE CF6-50C,2,OO-TEF,06/01/1987,TEA,Parked in BRU in 1991Scrapped,Scrapped
3,,Airbus A300,300B2-103,28/06/1973,,F-WUAD,,,F-ODCX,01/01/1975,Airbus Industrie,,Transferred
3,,Airbus A300,300B2-103,28/06/1973,,F-WUAD,,,F-BUAD,01/01/1978,Airbus Industrie,,Transferred
3,,Airbus A300,300B2-103,28/06/1973,,F-WUAD,,,F-BUAD,01/01/1989,General Electric,,Transferred
3,,Airbus A300,300B2-103,28/06/1973,,F-WUAD,,,F-BUAD,30/05/1996,Novespace,Stored 11/2014,Stored
4,,Airbus A300,300B2-1C,20/11/1973,,F-WUAA,,,F-BUAE,22/01/1977,Air Inter,Str Chateauroux - written off in a push back accident at Orly in 1996- Scrapped,Scrapped
5,,Airbus A300,300B2-101,15/04/1974,,F-WVGA,,,F-BVGA,10/05/1974,Air France,Str Chateauroux,Scrapped
6,,Airbus A300,300B2-101,23/06/1974,,F-WVGB,,,F-BVGB,28/06/1974,Air France,wfu Chateauroux,Scrapped
7,,Airbus A300,300B2-101,06/08/1974,,F-WVGC,,,F-BVGC,10/08/1974,Air France,brup 09/07/99,Scrapped
8,,Airbus A300,300B2-1C,02/10/1974,,F-WNDB,,,HS-VGD,17/10/1974,Air Siam,,Transferred
8,,Airbus A300,300B2-1C,02/10/1974,,F-WNDB,,,F-ODHC,16/11/1975,Airbus Industrie,,Transferred
8,,Airbus A300,300B2-1C,02/10/1974,,F-WNDB,,,PH-TVL,06/05/1976,Transavia Airlines,,Transferred
8,,Airbus A300,300B2-1C,02/10/1974,,F-WNDB,,,F-WNDB,18/01/1977,Airbus Industrie,,Transferred
8,,Airbus A300,300B2-1C,02/10/1974,,F-WNDB,,,F-BUAF,11/03/1978,Air Inter,Str and scr Chateauroux in 1998,Scrapped
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,F-ODCY,04/06/1976,Airbus Industrie,,Transferred
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,F-ODCY,16/07/1976,Air France,ret 27/07/76,Transferred
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,D-AMAP,20/02/1978,Bavaria,,Transferred
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,D-AMAP,05/04/1979,Hapag Lloyd,,Transferred
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,G-BMNB,16/12/1986,Dan-Air London,,Transferred
9,,Airbus A300,300B4-103,26/12/1974,,F-WLGA,,,F-GIJT,11/01/1990,Air Inter,,Transferred
