serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
12,,Airbus A330,330-342,02/11/1992,27.4,F-WWKA,RR Trent 772-60,2,F-WWKA,02/11/1992,Airbus Industrie,330 Proto,Transferred
12,,Airbus A330,330-342,02/11/1992,27.4,F-WWKA,RR Trent 772-60,2,VR-HLJ,18/10/1996,Cathay Pacific,Convertes 330-342,Transferred
12,,Airbus A330,330-342,02/11/1992,27.4,F-WWKA,RR Trent 772-60,2,B-HLJ,26/10/1997,Cathay Pacific,,Transferred
12,,Airbus A330,330-342,02/11/1992,27.4,F-WWKA,RR Trent 772-60,2,B-HLJ,31/03/2013,Dragonair,,Transferred
12,,Airbus A330,330-342,02/11/1992,27.4,F-WWKA,RR Trent 772-60,2,B-HLJ,28/01/2016,Cathay Dragon,,Active
17,,Airbus A330,330-342,03/12/1992,27.4,F-WWKB,RR Trent 772-60,2,F-WWKB,03/12/1992,Airbus Industrie,330 Proto #2,Transferred
17,,Airbus A330,330-342,03/12/1992,27.4,F-WWKB,RR Trent 772-60,2,VR-HLK,24/01/1997,Cathay Pacific,,Transferred
17,,Airbus A330,330-342,03/12/1992,27.4,F-WWKB,RR Trent 772-60,2,B-HLK,28/10/1997,Cathay Pacific,,Transferred
17,,Airbus A330,330-342,03/12/1992,27.4,F-WWKB,RR Trent 772-60,2,B-HLK,27/02/2013,Dragonair,,Transferred
17,,Airbus A330,330-342,03/12/1992,27.4,F-WWKB,RR Trent 772-60,2,B-HLK,28/01/2016,Cathay Dragon,,Active
30,,Airbus A330,330-301,22/06/1993,,F-WWKD,GE CF6-80E1A2,2,F-GMDA,18/03/1994,Air Inter,,Transferred
30,,Airbus A330,330-301,22/06/1993,,F-WWKD,GE CF6-80E1A2,2,OO-SFM,02/07/1997,Sabena,ceased ops BRU 07/11/01  frd to Chateauroux 18/01/02,Transferred
30,,Airbus A330,330-301,22/06/1993,,F-WWKD,GE CF6-80E1A2,2,OO-SFM,06/06/2002,Birdy Airlines (SN Brussels),lsd Debis AirFinance,Transferred
30,,Airbus A330,330-301,22/06/1993,,F-WWKD,GE CF6-80E1A2,2,OO-SFM,01/10/2004,SN Brussels Airlines,,Transferred
