serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
546,,Airbus A319,319-114,25/08/1995,24.6,F-WWDB,CFMI CFM56-5A5,2,D-AVYV,25/08/1995,Airbus Industrie,Airbus 319 Prototype #1,Transferred
546,,Airbus A319,319-114,25/08/1995,24.6,F-WWDB,CFMI CFM56-5A5,2,C-GBIP,03/04/1998,Air Canada,Converted 319-114,Active
572,,Airbus A319,319-114,31/10/1995,24.4,D-AVYK,CFMI CFM56-5A5,2,F-WWAS,31/10/1995,Airbus Industrie,Airbus 319 Prototype #2 - Converted to 131 with IAE engines -converted back to 114 re-registered,Transferred
572,,Airbus A319,319-114,31/10/1995,24.4,D-AVYK,CFMI CFM56-5A5,2,C-FYNS,04/07/1997,Air Canada,Stored 03/2014,Transferred
572,,Airbus A319,319-114,31/10/1995,24.4,D-AVYK,CFMI CFM56-5A5,2,C-FYNS,24/03/2014,Air Canada Rouge,,Active
578,,Airbus A319,319-112,14/02/1996,,D-AVYA,CFMI CFM56-5B6/P,2,F-WWTA,14/02/1996,Airbus Industrie,Tests,Transferred
578,,Airbus A319,319-112,14/02/1996,,D-AVYA,CFMI CFM56-5B6/P,2,HB-IPV,25/04/1996,Swissair,"named ""R",Transferred
578,,Airbus A319,319-112,14/02/1996,,D-AVYA,CFMI CFM56-5B6/P,2,HB-IPV,31/03/2002,Swiss International Air Lines,Stored 01/2020lsd from ILFC -Named Castelgens,Stored
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,HB-IPW,23/05/1996,Swissair,lsd ILFC,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,HB-IPW,31/03/2002,Swiss International Air Lines,Str at ZRH 06/04/02,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,N588MX,07/11/2002,Mexicana,lsd BBAM,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,F-OOUA,22/10/2004,Air Burkina,Celestair full colors - lsd from BBAM,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,F-OOUA,14/11/2006,Air Ivoire,lsd from BBAM,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,F-OOUA,28/03/2009,Air Burkina,Stored at Olbia 10/2009,Transferred
588,,Airbus A319,319-112,26/04/1996,,D-AVYB,CFMI CFM56-5B6/P,2,I-EEZQ,20/06/2010,Meridiana,Stored 12/2011,Scrapped
598,,Airbus A319,319-113,07/05/1996,,D-AVYD,CFMI CFM56-5A4,2,F-GPMA,21/06/1996,Air Inter,,Transferred
598,,Airbus A319,319-113,07/05/1996,,D-AVYD,CFMI CFM56-5A4,2,F-GPMA,12/09/1997,Air France,Stored 05/2018 - To be scrapped,Stored
600,,Airbus A319,319-113,30/05/1996,,D-AVYC,CFMI CFM56-5A4,2,F-GPMB,02/07/1996,Air Inter,,Transferred
600,,Airbus A319,319-113,30/05/1996,,D-AVYC,CFMI CFM56-5A4,2,F-GPMB,12/09/1997,Air France,Stored 03/2018,Stored
608,,Airbus A319,319-113,17/06/1996,,D-AVYE,CFMI CFM56-5A4,2,F-GPMC,12/07/1996,Air Inter,,Transferred
608,,Airbus A319,319-113,17/06/1996,,D-AVYE,CFMI CFM56-5A4,2,F-GPMC,12/09/1997,Air France,Stored 03/2018,Stored
609,,Airbus A319,319-114,24/06/1996,23.8,D-AVYF,CFMI CFM56-5A5,2,D-AILA,19/07/1996,Lufthansa,Named Frankfurt(Oder),Active
610,,Airbus A319,319-114,17/07/1996,23.7,D-AVYG,CFMI CFM56-5A5,2,D-AILB,20/08/1996,Lufthansa,Stored 01/2019Stored 10/2016 to 02/2017Named Wittenberg/Lutherstadt,Transferred
610,,Airbus A319,319-114,17/07/1996,23.7,D-AVYG,CFMI CFM56-5A5,2,D-AILB,25/01/2019,Lufthansa Cityline,Named Lutherstadt Wittenberg,Active
612,,Airbus A319,319-111,05/08/1996,,D-AVYH,CFMI CFM56-5B5/3,2,HB-IPX,23/08/1996,Swissair,,Transferred
612,,Airbus A319,319-111,05/08/1996,,D-AVYH,CFMI CFM56-5B5/3,2,HB-IPX,31/03/2002,Swiss International Air Lines,Stored 05/2019 - To be scrapped Named Mont Racine,Scrapped
616,,Airbus A319,319-114,28/08/1996,23.6,D-AVYI,CFMI CFM56-5A5,2,D-AILC,23/09/1996,Lufthansa,Named Rüsselsheim,Active
618,,Airbus A319,319-113,09/09/1996,23.6,D-AVYJ,CFMI CFM56-5A4,2,F-GPMD,02/10/1996,Air Inter,,Transferred
