serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
34305,419,Boeing 787,787-9,19/04/2016,4,N9672N,RR Trent 1000,2,B-7877,19/05/2016,Air China,Stored 01/2018 to 08/2018,Active
34306,433,Boeing 787,787-9,19/05/2016,3.9,N9676G,RR Trent 1000,2,B-7878,14/06/2016,Air China,Stored 03/2019 to 11/2019Stored 04/2018 to 09/2018,Active
34307,435,Boeing 787,787-9,25/05/2016,3.9,,RR Trent 1000,2,B-7879,25/06/2016,Air China,Stored 04/2018 to 06/2018,Active
34308,455,Boeing 787,787-9,06/07/2016,3.8,,RR Trent 1000,2,B-7800,29/07/2016,Air China,Stored 03/2019 to 11/2019,Active
34309,462,Boeing 787,787-9,25/07/2016,3.7,N8291V,RR Trent 1000,2,B-7832,27/08/2016,Air China,,Active
34310,471,Boeing 787,787-9,17/08/2016,3.7,,RR Trent 1000,2,B-7898,15/09/2016,Air China,Stored 04/2019 to 12/2019,Active
34311,487,Boeing 787,787-9,05/10/2016,,n8293V,RR Trent 1000,2,B-7899,29/10/2016,Air China,Stored 04/2018 for engine checks,Stored
34312,521,Boeing 787,787-9,19/01/2017,3.2,,RR Trent 1000,2,B-1591,17/02/2017,Air China,Stored 02/2019 to 10/2019,Active
34313,576,Boeing 787,787-9,05/06/2017,2.9,,RR Trent 1000,2,B-1431,25/06/2017,Air China,,Active
34314,589,Boeing 787,787-9,02/08/2017,2.7,,RR Trent 1000,2,B-1466,12/08/2017,Air China,,Active
34315,603,Boeing 787,787-9,08/09/2017,2.6,,RR Trent 1000,2,B-1467,20/09/2017,Air China,,Active
34316,629,Boeing 787,787-9,12/11/2017,2.4,,RR Trent 1000,2,B-1468,21/11/2017,Air China,,Active
34317,638,Boeing 787,787-9,02/12/2017,2.4,,RR Trent 1000,2,B-1469,11/12/2017,Air China,,Active
34318,651,Boeing 787,787-9,01/02/2018,2.2,,RR Trent 1000,2,B-1368,08/02/2018,Air China,,Active
34334,169,Boeing 787,787-9,28/05/2014,5.9,N1012N,RR Trent 1000,2,ZK-NZE,10/07/2014,Air New Zealand,,Active
34335,213,Boeing 787,787-9,14/09/2014,5.6,,RR Trent 1000,2,ZK-NZF,27/09/2014,Air New Zealand,,Active
34422,92,Boeing 787,787-8,30/04/2013,6.9,,Genx-1b70/P1G01,2,G-TUIA,30/05/2013,Thomson Airways,Named Living The Dream   Lsd From Bbam,Transferred
34422,92,Boeing 787,787-8,30/04/2013,6.9,,Genx-1b70/P1G01,2,G-TUIA,01/10/2017,TUI Airways,Named Living The Dream   Lsd From Bbam,Active
34423,94,Boeing 787,787-8,03/05/2013,6.9,,Genx-1b70/P2G01,2,G-TUIB,31/05/2013,Thomson Airways,Lsd From BbamNamed Alfie,Transferred
34423,94,Boeing 787,787-8,03/05/2013,6.9,,Genx-1b70/P2G01,2,G-TUIB,01/10/2017,TUI Airways,Lsd Rom Bbam   Named Alfie,Active
34424,96,Boeing 787,787-8,26/05/2013,6.9,,Genx-1b70/P1G01,2,G-TUIC,13/06/2013,Thomson Airways,Named Dream Maker,Transferred
34424,96,Boeing 787,787-8,26/05/2013,6.9,,Genx-1b70/P1G01,2,G-TUIC,01/10/2017,TUI Airways,Named Dream Maker  Lsd From Mcap,Active
34425,137,Boeing 787,787-8,14/11/2013,6.4,,GEnx-1B,2,OO-JDL,03/12/2013,JetairFly,Named Diamond,Transferred
34425,137,Boeing 787,787-8,14/11/2013,6.4,,GEnx-1B,2,OO-JDL,19/10/2016,TUI Airlines Belgium,Named Diamond,Active
34485,7,Boeing 787,787-8,01/09/2011,8.6,N1785B,GEnx-1B,2,JA803A,23/08/2012,All Nippon Airways,,Active
34486,9,Boeing 787,787-8,19/01/2011,9.2,N1006F,GEnx-1B,2,JA804A,16/01/2012,All Nippon Airways,,Active
34487,18,Boeing 787,787-8,02/02/2017,,,RR Trent 1000,2,ET-ATI,26/05/2017,Ethiopian Airlines,Stored 01/2019Named Mother Teresa,Stored
34488,8,Boeing 787,787-8,01/09/2011,8.6,,GEnx-1B,2,JA801A,27/09/2011,All Nippon Airways,,Active
34490,42,Boeing 787,787-8,01/04/2012,8,,GEnx-1B,2,JA808A,16/04/2012,All Nippon Airways,,Active
34491,15,Boeing 787,787-8,18/08/2016,3.6,N1008S,RR Trent 1000,2,F-OLRB,28/10/2016,Air Austral,Ex N1015X,Active
34492,13,Boeing 787,787-8,21/07/2016,3.7,N1003W,RR Trent 1000,2,ET-ATJ,17/09/2016,Ethiopian Airlines,Named Dallol,Active
34493,69,Boeing 787,787-881,23/08/2012,7.6,,RR Trent 1000,2,JA814A,24/09/2012,All Nippon Airways,,Active
34494,47,Boeing 787,787-881,09/05/2012,7.9,N1015X,RR Trent 1000,2,JA809A,21/06/2012,All Nippon Airways,,Active
34496,199,Boeing 787,787-8,23/07/2014,5.7,,GEnx-1B,2,JA831A,04/08/2014,All Nippon Airways,,Active
