serialNumber,lnNumber,familyType,Type,firstFlight,planeAge,testRegistration,enginesType,enginesNumber,registration,deliveryDate,operator,remark,status
7680,,Airbus A321,321-211,04/05/2017,2.9,D-AYAI,CFMI CFM56-5B3/P,2,TF-PRO,22/05/2017,WOW air,Ceased operations 28 March 2019 as EI-GOL (jin shan 20 ireland company limited),Transferred
7680,,Airbus A321,321-211,04/05/2017,2.9,D-AYAI,CFMI CFM56-5B3/P,2,HS-VKL,14/10/2019,Thai VietjetAir,Lsd From Bocomm Leasing,Active
7684,,Airbus A321,321-211,16/05/2017,2.9,D-AYAS,CFMI CFM56-5B3/P,2,VN-A641,31/05/2017,VietJetAir,,Active
7686,,Airbus A321,321-231,09/04/2017,,D-AVXU,IAE V2533-A5,2,VQ-BRS,28/05/2017,Nordwind Airlines,01/2020 Plane was substantially damaged in a hard landing at Antalya  Lsd From Calc 32,Stored
7689,,Airbus A321,321-211,23/05/2017,2.9,D-AYAA,CFMI CFM56-5B3/P,2,VN-A642,02/06/2017,VietJetAir,,Active
7690,,Airbus A321,321-231,20/07/2017,2.7,F-WZMI,IAE V2533-A5,2,N677NK,28/07/2017,Spirit Airlines,,Active
7692,,Airbus A321,321-231,17/05/2017,2.9,D-AYAB,IAE V2533-A5,2,N981JT,26/05/2017,JetBlue Airways,Named: The Royal Treatmint,Active
7694,,Airbus A321,321-253N,08/06/2017,2.8,D-AZAA,CFMI LEAP-1A33,2,TF-SKY,21/06/2017,WOW air,Ceased operations 28 March 2019,Transferred
7694,,Airbus A321,321-253N,08/06/2017,2.8,D-AZAA,CFMI LEAP-1A33,2,TC-OED,01/08/2019,Onur Air,Lsd From Alc,Active
7697,,Airbus A321,321-251N,14/07/2017,2.7,D-AZAB,CFMI LEAP-1A,2,4R-AND,31/07/2017,Srilankan Airlines,Lsd From Aercap,Active
7700,,Airbus A321,321-231,16/06/2017,2.8,D-AZAF,IAE V2533-A5,2,N905AU,27/06/2017,American Airlines,,Active
7702,,Airbus A321,321-231,18/05/2017,2.9,D-AZAG,IAE V2533-A5,2,HA-LXS,15/06/2017,Wizz Air,,Active
7706,,Airbus A321,321-231,11/07/2017,2.8,D-AYAY,IAE V2533-A5,2,HA-LXT,18/07/2017,Wizz Air,,Active
7707,,Airbus A321,321-211,12/06/2017,2.8,D-AYAZ,CFMI CFM56-5B3/P,2,N322DN,21/06/2017,Delta Air Lines,Lsd From Bbam,Active
7709,,Airbus A321,321-211,02/08/2017,2.7,F-WZMJ,CFMI CFM56-5B3/P,2,N325DN,11/08/2017,Delta Air Lines,,Active
7714,,Airbus A321,321-231,27/05/2017,2.9,D-AYAM,IAE V2533-A5,2,EC-MRF,07/06/2017,Vueling Airlines,Named Flavia Carvalho,Active
7715,,Airbus A321,321-211,31/05/2017,2.9,D-AYAP,CFMI CFM56-5B3/P,2,TF-NOW,09/06/2017,WOW air,Ceased operations 28 March 2019 as  EI-GOX (jin shan 20 ireland company limited),Transferred
7715,,Airbus A321,321-211,31/05/2017,2.9,D-AYAP,CFMI CFM56-5B3/P,2,HS-VKM,01/10/2019,Thai VietjetAir,Leased From Bocomm Leasing,Active
7720,,Airbus A321,321-211,03/06/2017,2.9,D-AYAU,CFMI CFM56-5B3/P,2,B-8687,09/06/2017,Sichuan Airlines,,Active
7722,,Airbus A321,321-232,07/06/2017,2.8,D-AVZC,IAE V2530-A5,2,B-8583,16/06/2017,Air China,,Active
7726,,Airbus A321,321-211,13/06/2017,2.8,D-AVYQ,CFMI CFM56-5B3/P,2,B-8992,22/06/2017,China Southern Airlines,,Active
7729,,Airbus A321,321-231,06/06/2017,2.8,D-AVYU,IAE V2533-A5,2,B-LED,14/06/2017,Hong Kong Express Airways,Lsd From Bocom Leasing,Active
7732,,Airbus A321,321-231,15/06/2017,2.8,D-AVYM,IAE V2533-A5,2,N907AA,11/07/2017,American Airlines,,Active
7734,,Airbus A321,321-231,28/06/2017,2.8,D-AVYY,IAE V2533-A5,2,N676NK,06/07/2017,Spirit Airlines,,Active
7736,,Airbus A321,321-211,13/06/2017,2.8,D-AVYZ,CFMI CFM56-5B3/P,2,N719FR,21/06/2017,Frontier Airlines,Named Midnight The Wolf,Active
